voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3 ms;72;54455;8750;50;8760;39858;3677;2088;54383;5320;3260;46968;1650;3677;2088;54383;955;615;47218;1400;3677;2088;54383;600;390;47718;900;3677;2088;54383;500;290;
2526;3 ms;72;54455;8750;49;9348;38866;4011;2158;54383;5650;3590;46597;1617;4011;2158;54383;965;625;46842;1372;4011;2158;54383;765;485;47332;882;4011;2158;54383;565;300;
2552;3 ms;72;54455;8750;48;10067;38454;3609;2253;54383;5625;3400;46937;1584;3609;2253;54383;680;470;47177;1344;3609;2253;54383;505;295;47657;864;3609;2253;54383;420;210;
2578;3 ms;72;54455;8750;47;10194;37776;4195;2218;54383;5840;3770;46386;1584;4195;2218;54383;830;500;46627;1343;4195;2218;54383;785;495;47124;846;4195;2218;54383;520;310;
2604;3 ms;72;54455;8750;47;10758;37376;4041;2208;54383;5630;3570;46583;1551;4041;2208;54383;1480;1020;46818;1316;4041;2208;54383;785;495;47288;846;4041;2208;54383;450;240;
2630;3 ms;72;54455;8750;45;11636;35796;4698;2253;54383;6815;4590;45947;1485;4698;2253;54383;480;270;46172;1260;4698;2253;54383;480;270;46622;810;4698;2253;54383;480;270;
2656;3 ms;72;54455;8750;44;12989;35139;4002;2253;54383;6135;3910;46676;1452;4002;2253;54383;440;230;46896;1232;4002;2253;54383;440;230;47336;792;4002;2253;54383;440;230;
2682;3 ms;72;54455;8750;43;13438;34628;4149;2168;54383;5690;3620;46614;1452;4149;2168;54383;595;385;46852;1214;4149;2168;54383;925;645;47292;774;4149;2168;54383;765;500;
2708;3 ms;72;54455;8750;43;14262;34386;3836;1899;54383;5615;3740;47229;1419;3836;1899;54383;820;510;47444;1204;3836;1899;54383;420;240;47874;774;3836;1899;54383;420;240;
2734;3 ms;72;54455;8750;42;14885;33841;3748;1909;54383;5295;3410;47307;1419;3748;1909;54383;785;605;47530;1196;3748;1909;54383;570;390;47970;756;3748;1909;54383;400;220;
2760;3 ms;72;54455;8750;41;15367;32630;4632;1754;54383;5520;4110;46644;1353;4632;1754;54383;1235;675;46849;1148;4632;1754;54383;845;515;47259;738;4632;1754;54383;635;400;
2786;3 ms;72;54455;8750;40;16031;32267;4176;1909;54383;5965;4080;46945;1353;4176;1909;54383;420;240;47165;1133;4176;1909;54383;420;240;47578;720;4176;1909;54383;420;240;
2812;3 ms;72;54455;8750;39;16918;31226;4330;1909;54383;6115;4230;46857;1287;4330;1909;54383;700;520;47052;1092;4330;1909;54383;430;250;47442;702;4330;1909;54383;430;250;
2838;3 ms;72;54455;8750;37;18082;29694;4698;1909;54383;6475;4590;46555;1221;4698;1909;54383;450;270;46740;1036;4698;1909;54383;450;270;47110;666;4698;1909;54383;450;270;
2864;3 ms;72;54455;8750;37;18704;29556;4309;1814;54383;5650;3930;47039;1221;4309;1814;54383;830;520;47224;1036;4309;1814;54383;745;495;47594;666;4309;1814;54383;500;320;
2890;3 ms;72;54455;8750;36;18787;29019;4678;1899;54383;6445;4570;46618;1188;4678;1899;54383;850;540;46798;1008;4678;1899;54383;450;270;47158;648;4678;1899;54383;450;270;
2916;3 ms;72;54455;8750;35;19472;28332;4670;1909;54383;5685;3800;46616;1188;4670;1909;54383;1125;945;46796;1008;4670;1909;54383;1110;930;47156;648;4670;1909;54383;780;600;
2942;3 ms;72;54455;8750;35;19971;28067;4900;1445;54383;5744;4509;46883;1155;4900;1445;54383;695;425;47058;980;4900;1445;54383;835;535;47408;630;4900;1445;54383;625;420;
2968;3 ms;72;54455;8750;34;20594;27545;4724;1520;54383;5871;4491;47007;1132;4724;1520;54383;1001;601;47187;952;4724;1520;54383;595;365;47527;612;4724;1520;54383;430;280;
2994;3 ms;72;54455;8750;34;21566;27082;4170;1565;54383;5544;3999;47526;1122;4170;1565;54383;400;250;47696;952;4170;1565;54383;475;325;48036;612;4170;1565;54383;460;310;
3000;3 ms;72;54455;8750;34;21742;26856;4220;1565;54383;5544;3999;47476;1122;4220;1565;54383;525;375;47646;952;4220;1565;54383;400;250;47986;612;4220;1565;54383;400;250;
3050;3 ms;72;54455;8750;32;22645;25680;4493;1565;54383;5938;4393;47269;1056;4493;1565;54383;680;530;47429;896;4493;1565;54383;410;260;47749;576;4493;1565;54383;410;260;
3100;3 ms;72;54455;8750;31;24289;24711;3818;1565;54383;5275;3730;47977;1023;3818;1565;54383;505;355;48132;868;3818;1565;54383;370;220;48442;558;3818;1565;54383;370;220;
3150;3 ms;72;54455;8750;30;25161;23744;4043;1435;54383;4835;3610;47915;990;4043;1435;54383;1190;790;48065;840;4043;1435;54383;815;515;48365;540;4043;1435;54383;535;330;
3200;3 ms;72;54455;8750;28;26309;22558;4046;1470;54383;5130;3750;47943;924;4046;1470;54383;780;500;48083;784;4046;1470;54383;620;400;48363;504;4046;1470;54383;390;240;
3250;3 ms;72;54455;8750;26;27165;21199;4489;1530;54383;5650;4260;47506;858;4489;1530;54383;655;385;47636;728;4489;1530;54383;575;345;47896;468;4489;1530;54383;410;260;
3300;3 ms;72;54455;8750;25;28265;20184;4404;1530;54383;5490;4100;47624;825;4404;1530;54383;655;385;47749;700;4404;1530;54383;650;420;47999;450;4404;1530;54383;470;320;
3350;3 ms;72;54455;8750;24;29724;18934;4255;1470;54383;5460;4080;47866;792;4255;1470;54383;665;385;47986;672;4255;1470;54383;545;325;48226;432;4255;1470;54383;515;310;
3400;3 ms;72;54455;8750;21;30867;17270;4681;1565;54383;5835;4290;47444;693;4681;1565;54383;565;415;47549;588;4681;1565;54383;675;525;47759;378;4681;1565;54383;560;410;
3450;3 ms;72;54455;8750;20;31802;16438;4578;1565;54383;5815;4270;47580;660;4578;1565;54383;545;395;47680;560;4578;1565;54383;580;430;47880;360;4578;1565;54383;480;330;
3500;3 ms;72;54455;8750;20;32673;16149;3996;1565;54383;5445;3900;48162;660;3996;1565;54383;660;510;48262;560;3996;1565;54383;390;240;48462;360;3996;1565;54383;390;240;
3550;3 ms;72;54455;8750;18;33549;14776;4837;1221;54383;5805;4600;47731;594;4837;1221;54383;525;405;47821;504;4837;1221;54383;485;365;48001;324;4837;1221;54383;400;280;
3600;3 ms;72;54455;8750;17;34454;13573;5135;1221;54383;6145;4940;47466;561;5135;1221;54383;420;300;47551;476;5135;1221;54383;495;375;47721;306;5135;1221;54383;480;360;
3650;3 ms;72;54455;8750;15;34935;12317;5995;1136;54383;6830;5780;46757;495;5995;1136;54383;605;485;46832;420;5995;1136;54383;615;425;46982;270;5995;1136;54383;585;410;
3700;3 ms;72;54455;8750;14;36437;11804;4931;1211;54383;5935;4740;47779;462;4931;1211;54383;945;695;47849;392;4931;1211;54383;485;365;47989;252;4931;1211;54383;470;350;
3750;3 ms;72;54455;8750;14;37008;11203;4951;1221;54383;5965;4760;47749;462;4951;1221;54383;545;425;47819;392;4951;1221;54383;485;365;47959;252;4951;1221;54383;470;350;
3800;3 ms;72;54455;8750;13;37836;10818;4663;1066;54383;5480;4430;48225;429;4663;1066;54383;515;395;48290;364;4663;1066;54383;475;355;48420;234;4663;1066;54383;390;270;
3850;3 ms;72;54455;8750;12;39003;9840;4663;877;54383;5295;4430;48447;396;4663;877;54383;485;395;48507;336;4663;877;54383;445;355;48627;216;4663;877;54383;360;270;
3900;3 ms;72;54455;8750;11;40005;9412;4244;722;54383;4650;3940;49054;363;4244;722;54383;475;385;49109;308;4244;722;54383;510;420;49219;198;4244;722;54383;410;320;
3950;3 ms;72;54455;8750;10;40921;8655;4309;498;54383;4300;3930;49246;330;4309;498;54383;565;385;49296;280;4309;498;54383;635;495;49396;180;4309;498;54383;380;320;
4000;3 ms;72;54455;8750;10;41954;7979;3917;533;54383;4275;3750;49603;330;3917;533;54383;290;230;49653;280;3917;533;54383;365;305;49753;180;3917;533;54383;350;290;
4040;3 ms;72;54455;8750;9;42207;7870;3773;533;54383;4085;3560;49754;323;3773;533;54383;675;615;49825;252;3773;533;54383;365;305;49915;162;3773;533;54383;280;220;
4080;3 ms;72;54455;8750;8;42968;7064;3818;533;54383;4255;3730;49768;264;3818;533;54383;415;355;49808;224;3818;533;54383;280;220;49888;144;3818;533;54383;280;220;
4120;3 ms;72;54455;8750;8;43589;6488;3773;533;54383;4085;3560;49813;264;3773;533;54383;675;615;49853;224;3773;533;54383;365;305;49933;144;3773;533;54383;280;220;
4160;3 ms;72;54455;8750;7;44345;6027;3563;448;54383;3770;3400;50141;231;3563;448;54383;415;355;50176;196;3563;448;54383;425;295;50246;126;3563;448;54383;395;280;
4200;3 ms;72;54455;8750;7;44758;5972;3155;498;54383;3120;2750;50499;231;3155;498;54383;765;585;50534;196;3155;498;54383;585;445;50604;126;3155;498;54383;320;260;
4240;3 ms;72;54455;8750;6;44716;5306;3828;533;54383;4265;3740;49824;198;3828;533;54383;280;220;49854;168;3828;533;54383;280;220;49914;108;3828;533;54383;280;220;
4280;3 ms;72;54455;8750;6;45556;4934;3360;533;54383;3605;3080;50292;198;3360;533;54383;385;325;50322;168;3360;533;54383;420;360;50382;108;3360;533;54383;320;260;
4320;3 ms;72;54455;8750;5;46217;4631;3002;533;54383;3255;2730;50683;165;3002;533;54383;500;440;50708;140;3002;533;54383;400;340;50758;90;3002;533;54383;300;240;
4360;3 ms;72;54455;8750;5;46451;4302;3097;533;54383;3425;2900;50588;165;3097;533;54383;365;305;50613;140;3097;533;54383;325;265;50663;90;3097;533;54383;240;180;
4400;3 ms;72;54455;8750;4;46688;3508;3654;533;54383;4095;3570;50064;132;3654;533;54383;270;210;50084;112;3654;533;54383;270;210;50124;72;3654;533;54383;270;210;
4440;3 ms;72;54455;8750;3;47370;3070;3445;498;54383;3610;3240;50341;99;3445;498;54383;505;325;50356;84;3445;498;54383;425;285;50386;54;3445;498;54383;260;200;
4480;3 ms;72;54455;8750;3;48301;3044;2515;523;54383;2895;2380;51246;99;2515;523;54383;475;285;51261;84;2515;523;54383;285;225;51291;54;2515;523;54383;270;210;
4520;3 ms;72;54455;8750;3;48604;2472;2774;533;54383;3235;2710;50977;99;2774;533;54383;355;295;50992;84;2774;533;54383;220;160;51022;54;2774;533;54383;220;160;
4560;3 ms;72;54455;8750;2;48740;2361;2749;533;54383;3085;2560;51002;99;2749;533;54383;345;285;51022;79;2749;533;54383;305;245;51065;36;2749;533;54383;220;160;
4600;3 ms;72;54455;8750;2;49189;2225;2436;533;54383;2905;2380;51348;66;2436;533;54383;200;140;51358;56;2436;533;54383;200;140;51378;36;2436;533;54383;200;140;
4640;3 ms;72;54455;8750;2;49628;1821;2401;533;54383;2745;2220;51383;66;2401;533;54383;325;265;51393;56;2401;533;54383;285;225;51413;36;2401;533;54383;200;140;
4680;3 ms;72;54455;8750;1;49924;1456;2480;523;54383;2735;2220;51347;33;2480;523;54383;600;410;51352;28;2480;523;54383;370;310;51362;18;2480;523;54383;270;210;
4720;3 ms;72;54455;8750;1;50278;1470;2102;533;54383;2575;2050;51715;33;2102;533;54383;190;130;51720;28;2102;533;54383;190;130;51730;18;2102;533;54383;190;130;
4760;3 ms;72;54455;8750;1;50934;1172;2088;189;54383;2225;2040;52073;33;2088;189;54383;150;120;52078;28;2088;189;54383;150;120;52088;18;2088;189;54383;150;120;
4800;3 ms;72;54455;8750;1;51559;1069;1566;189;54383;1715;1530;52595;33;1566;189;54383;120;90;52600;28;1566;189;54383;120;90;52610;18;1566;189;54383;120;90;
4840;3 ms;72;54455;8750;0;51668;786;1740;189;54383;1885;1700;52454;0;1740;189;54383;130;100;52454;0;1740;189;54383;130;100;52454;0;1740;189;54383;130;100;
4880;3 ms;72;54455;8750;0;52287;689;1218;189;54383;1375;1190;52976;0;1218;189;54383;100;70;52976;0;1218;189;54383;100;70;52976;0;1218;189;54383;100;70;
4920;3 ms;72;54455;8750;0;51999;629;1566;189;54383;1715;1530;52628;0;1566;189;54383;120;90;52628;0;1566;189;54383;120;90;52628;0;1566;189;54383;120;90;
4960;3 ms;72;54455;8750;0;52435;541;1218;189;54383;1375;1190;52976;0;1218;189;54383;100;70;52976;0;1218;189;54383;100;70;52976;0;1218;189;54383;100;70;
Fixed time simulation end ########################################

