voltage_trace: voltage_traces/voltage_trace1.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
4000;3 ms;8;21260;0;15;5563;12314;3076;300;21253;1112;816;17382;495;3076;300;21253;96;48;17457;420;3076;300;21253;96;48;17607;270;3076;300;21253;96;48;
4019;3 ms;8;21260;0;15;5567;12302;3084;300;21253;1112;816;17374;495;3084;300;21253;96;48;17449;420;3084;300;21253;96;48;17599;270;3084;300;21253;96;48;
4038;3 ms;8;21260;0;15;5567;12294;3092;300;21253;1112;816;17366;495;3092;300;21253;96;48;17441;420;3092;300;21253;96;48;17591;270;3092;300;21253;96;48;
4057;3 ms;8;21260;0;15;5571;12282;3100;300;21253;1112;816;17358;495;3100;300;21253;96;48;17433;420;3100;300;21253;96;48;17583;270;3100;300;21253;96;48;
4076;3 ms;8;21260;0;15;5571;12214;3168;300;21253;1112;816;17290;495;3168;300;21253;96;48;17365;420;3168;300;21253;96;48;17515;270;3168;300;21253;96;48;
4095;3 ms;8;21260;0;15;5655;12122;3176;300;21253;1112;816;17282;495;3176;300;21253;96;48;17357;420;3176;300;21253;96;48;17507;270;3176;300;21253;96;48;
4114;3 ms;8;21260;0;15;5664;12145;3144;300;21253;1128;832;17314;495;3144;300;21253;112;64;17389;420;3144;300;21253;112;64;17539;270;3144;300;21253;112;64;
4133;3 ms;8;21260;0;15;5660;12141;3152;300;21253;1128;832;17306;495;3152;300;21253;112;64;17381;420;3152;300;21253;112;64;17531;270;3152;300;21253;112;64;
4152;3 ms;8;21260;0;15;5656;12131;3166;300;21253;1128;832;17292;495;3166;300;21253;112;64;17367;420;3166;300;21253;112;64;17517;270;3166;300;21253;112;64;
4171;3 ms;8;21260;0;15;5669;11940;3480;164;21253;880;832;17114;495;3480;164;21253;112;64;17189;420;3480;164;21253;344;184;17339;270;3480;164;21253;296;160;
4190;3 ms;8;21260;0;15;5665;12116;3308;164;21253;624;576;17286;495;3308;164;21253;112;64;17361;420;3308;164;21253;344;184;17511;270;3308;164;21253;296;160;
4209;3 ms;8;21260;0;15;5673;11980;3436;164;21253;624;576;17158;495;3436;164;21253;112;64;17233;420;3436;164;21253;464;304;17383;270;3436;164;21253;392;256;
4228;3 ms;8;21260;0;15;5675;11826;3452;300;21253;1112;816;17006;495;3452;300;21253;96;48;17081;420;3452;300;21253;96;48;17231;270;3452;300;21253;96;48;
4247;3 ms;8;21260;0;15;5675;11818;3460;300;21253;1112;816;16998;495;3460;300;21253;96;48;17073;420;3460;300;21253;96;48;17223;270;3460;300;21253;96;48;
4266;3 ms;8;21260;0;15;5675;11814;3464;300;21253;1112;816;16994;495;3464;300;21253;96;48;17069;420;3464;300;21253;96;48;17219;270;3464;300;21253;96;48;
4285;3 ms;8;21260;0;14;5674;11447;3832;300;21253;1384;1088;16659;462;3832;300;21253;112;64;16729;392;3832;300;21253;112;64;16869;252;3832;300;21253;112;64;
4304;3 ms;8;21260;0;14;5678;11435;3840;300;21253;1384;1088;16651;462;3840;300;21253;112;64;16721;392;3840;300;21253;112;64;16861;252;3840;300;21253;112;64;
4323;3 ms;8;21260;0;14;5684;11383;3886;300;21253;1656;1360;16605;462;3886;300;21253;128;80;16675;392;3886;300;21253;128;80;16815;252;3886;300;21253;128;80;
4342;3 ms;8;21260;0;14;5684;11367;3902;300;21253;1656;1360;16589;462;3902;300;21253;128;80;16659;392;3902;300;21253;128;80;16799;252;3902;300;21253;128;80;
4361;3 ms;8;21260;0;14;5684;11223;4046;300;21253;1656;1360;16445;462;4046;300;21253;128;80;16515;392;4046;300;21253;128;80;16655;252;4046;300;21253;128;80;
Fixed time simulation end ########################################

