voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;
2600;3 ms;97;48271;0;24;17364;19432;8440;2938;48174;7226;4976;33844;2952;8440;2938;48174;1996;1528;34324;2472;8440;2938;48174;920;604;35284;1512;8440;2938;48174;428;356;35284;1512;8440;2938;48174;488;416;35524;1272;8440;2938;48174;432;360;35764;1032;8440;2938;48174;248;176;36004;792;8440;2938;48174;184;112;
2619;3 ms;97;48271;0;23;17017;18338;9997;2822;48174;7748;5740;32526;2829;9997;2822;48174;1404;936;32986;2369;9997;2822;48174;940;624;33906;1449;9997;2822;48174;448;376;33906;1449;9997;2822;48174;408;336;34136;1219;9997;2822;48174;606;456;34366;989;9997;2822;48174;458;324;34596;759;9997;2822;48174;205;133;
2638;3 ms;97;48271;0;22;16742;17494;11225;2713;48174;8446;6480;31530;2706;11225;2713;48174;1422;752;31970;2266;11225;2713;48174;944;628;32850;1386;11225;2713;48174;708;636;32850;1386;11225;2713;48174;520;448;33070;1166;11225;2713;48174;542;392;33290;946;11225;2713;48174;462;328;33510;726;11225;2713;48174;264;192;
2657;3 ms;97;48271;0;21;16892;17314;11100;2868;48174;6770;5256;31500;2706;11100;2868;48174;2636;1972;31940;2266;11100;2868;48174;1078;768;32820;1386;11100;2868;48174;820;636;32871;1335;11100;2868;48174;732;564;33093;1113;11100;2868;48174;620;476;33303;903;11100;2868;48174;712;584;33513;693;11100;2868;48174;314;248;
2676;3 ms;97;48271;0;21;16607;17284;12312;1971;48174;6300;5508;31308;2583;12312;1971;48174;2034;1572;31728;2163;12312;1971;48174;1078;768;32568;1323;12312;1971;48174;1066;764;32568;1323;12312;1971;48174;1234;768;32778;1113;12312;1971;48174;798;568;32988;903;12312;1971;48174;470;404;33198;693;12312;1971;48174;278;212;
2695;3 ms;97;48271;0;21;16643;16799;12270;2462;48174;7270;6244;30859;2583;12270;2462;48174;1418;552;31279;2163;12270;2462;48174;582;272;32119;1323;12270;2462;48174;812;628;32119;1323;12270;2462;48174;930;664;32329;1113;12270;2462;48174;698;472;32539;903;12270;2462;48174;524;396;32749;693;12270;2462;48174;270;204;
2714;3 ms;97;48271;0;21;17287;16738;12226;1923;48174;6298;5512;31442;2583;12226;1923;48174;602;344;31862;2163;12226;1923;48174;810;628;32702;1323;12226;1923;48174;1410;996;32702;1323;12226;1923;48174;1126;760;32912;1113;12226;1923;48174;768;552;33122;903;12226;1923;48174;580;396;33332;693;12226;1923;48174;228;168;
2733;3 ms;97;48271;0;20;17084;16527;12268;2295;48174;6030;4772;31028;2583;12268;2295;48174;2630;1568;31448;2163;12268;2295;48174;1434;1008;32323;1288;12268;2295;48174;704;644;32351;1260;12268;2295;48174;714;556;32551;1060;12268;2295;48174;1026;884;32751;860;12268;2295;48174;716;656;32951;660;12268;2295;48174;260;200;
2752;3 ms;97;48271;0;19;16663;15740;12978;2793;48174;8702;6960;29943;2460;12978;2793;48174;1410;744;30359;2044;12978;2793;48174;320;260;31206;1197;12978;2793;48174;554;376;31206;1197;12978;2793;48174;606;444;31396;1007;12978;2793;48174;438;300;31586;817;12978;2793;48174;382;260;31776;627;12978;2793;48174;220;160;
2771;3 ms;97;48271;0;19;16591;15572;13130;2881;48174;6806;5052;29826;2337;13130;2881;48174;432;372;30206;1957;13130;2881;48174;714;536;30966;1197;13130;2881;48174;1080;780;30966;1197;13130;2881;48174;746;584;31156;1007;13130;2881;48174;1276;1216;31346;817;13130;2881;48174;1180;1120;31536;627;13130;2881;48174;280;220;
