voltage_trace: voltage_traces/voltage_trace6.txt
Fixed time simulation start ######################################
hazard_threshold_val;backup_period_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2450;1029;3 ms;6;38496;0;39;4038;30975;3190;288;38491;2054;1776;33726;1287;3190;288;38491;192;162;33921;1092;3190;288;38491;176;146;34311;702;3190;288;38491;152;122;
2450;1045;3 ms;6;38496;0;38;3905;31252;3060;274;38491;1988;1772;33936;1221;3060;274;38491;294;216;34113;1044;3060;274;38491;238;176;34473;684;3060;274;38491;166;136;
2450;1071;3 ms;6;38496;0;40;4106;31243;2854;288;38491;1922;1644;34029;1320;2854;288;38491;138;108;34229;1120;2854;288;38491;138;108;34629;720;2854;288;38491;154;124;
2450;1108;3 ms;6;38496;0;39;4049;31518;2640;284;38491;2042;1768;34280;1287;2640;284;38491;188;158;34475;1092;2640;284;38491;172;142;34865;702;2640;284;38491;138;108;
2450;1156;3 ms;6;38496;0;40;4133;31808;2262;288;38491;1846;1568;34621;1320;2262;288;38491;342;312;34821;1120;2262;288;38491;202;172;35221;720;2262;288;38491;134;104;
2450;1214;3 ms;6;38496;0;41;4191;32025;1991;284;38491;1838;1564;34882;1334;1991;284;38491;290;208;35068;1148;1991;284;38491;130;100;35478;738;1991;284;38491;131;101;
2450;1283;3 ms;6;38496;0;40;4155;32090;1958;288;38491;1842;1564;34902;1343;1958;288;38491;230;200;35125;1120;1958;288;38491;160;130;35525;720;1958;288;38491;126;96;
2450;1362;3 ms;6;38496;0;41;4219;32312;1672;288;38491;1778;1500;35178;1353;1672;288;38491;172;142;35383;1148;1672;288;38491;156;126;35793;738;1672;288;38491;122;92;
2450;1452;3 ms;6;38496;0;41;4191;32038;1982;280;38491;1694;1424;34906;1323;1982;280;38491;274;192;35081;1148;1982;280;38491;152;122;35491;738;1982;280;38491;118;88;
2450;1552;3 ms;6;38496;0;29;14108;22991;1166;226;38491;1056;840;36116;983;1166;226;38491;160;130;36287;812;1166;226;38491;106;76;36577;522;1166;226;38491;106;76;
2450;1663;3 ms;6;38496;0;40;4144;32705;1354;288;38491;1506;1228;35503;1346;1354;288;38491;156;126;35729;1120;1354;288;38491;140;110;36129;720;1354;288;38491;106;76;
2450;1785;3 ms;6;38496;0;40;4142;32765;1296;288;38491;1502;1224;35561;1346;1296;288;38491;102;72;35787;1120;1296;288;38491;102;72;36187;720;1296;288;38491;102;72;
2450;1917;3 ms;6;38496;0;41;4207;32794;1206;284;38491;1362;1088;35646;1355;1206;284;38491;254;172;35853;1148;1206;284;38491;132;102;36263;738;1206;284;38491;98;68;
2450;2060;3 ms;6;38496;0;41;4201;32225;1777;288;38491;1230;952;35073;1353;1777;288;38491;86;56;35278;1148;1777;288;38491;86;56;35688;738;1777;288;38491;86;56;
2450;2213;3 ms;6;38496;0;41;4197;32244;1762;288;38491;958;680;35088;1353;1762;288;38491;70;40;35293;1148;1762;288;38491;70;40;35703;738;1762;288;38491;70;40;
2450;2377;3 ms;6;38496;0;42;4229;32812;1176;274;38491;832;616;35688;1353;1176;274;38491;168;90;35889;1152;1176;274;38491;136;74;36285;756;1176;274;38491;70;40;
2450;2551;3 ms;6;38496;0;41;4276;32895;1032;288;38491;958;680;35766;1405;1032;288;38491;128;98;35995;1176;1032;288;38491;104;74;36432;739;1032;288;38491;98;68;
2450;2736;3 ms;6;38496;0;42;4284;33172;747;288;38491;826;548;36070;1386;747;288;38491;116;86;36280;1176;747;288;38491;100;70;36700;756;747;288;38491;66;36;
2450;2932;3 ms;6;38496;0;41;4191;33292;720;288;38491;958;680;36130;1353;720;288;38491;70;40;36335;1148;720;288;38491;70;40;36745;738;720;288;38491;70;40;
2450;3138;3 ms;6;38496;0;41;4222;33333;648;288;38491;890;612;36169;1386;648;288;38491;66;36;36407;1148;648;288;38491;66;36;36817;738;648;288;38491;66;36;
2450;4604;3 ms;6;38496;0;42;4199;33449;589;254;38491;492;276;36295;1353;589;254;38491;50;20;36500;1148;589;254;38491;108;50;36906;742;589;254;38491;96;44;
2450;4937;3 ms;6;38496;0;43;4363;33480;360;288;38491;618;340;36424;1419;360;288;38491;50;20;36639;1204;360;288;38491;50;20;37069;774;360;288;38491;50;20;
2450;5285;3 ms;6;38496;0;41;4181;33662;360;288;38491;618;340;36490;1353;360;288;38491;50;20;36695;1148;360;288;38491;50;20;37105;738;360;288;38491;50;20;
2450;5647;3 ms;6;38496;0;42;4314;33673;216;288;38491;482;204;36568;1419;216;288;38491;42;12;36798;1189;216;288;38491;42;12;37231;756;216;288;38491;42;12;
2450;6024;3 ms;6;38496;0;45;4541;33446;216;288;38491;482;204;36502;1485;216;288;38491;42;12;36727;1260;216;288;38491;42;12;37177;810;216;288;38491;42;12;
2450;6416;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;6823;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;7245;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;7681;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;8133;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;8599;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;9079;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;9575;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;10086;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;10611;3 ms;6;38496;0;7;32758;5666;16;51;38491;38;8;38193;231;16;51;38491;38;8;38228;196;16;51;38491;38;8;38298;126;16;51;38491;38;8;
2450;11151;3 ms;6;38496;0;7;32766;5666;8;51;38491;34;4;38201;231;8;51;38491;34;4;38236;196;8;51;38491;34;4;38306;126;8;51;38491;34;4;
2450;11706;3 ms;6;38496;0;7;32774;5666;0;51;38491;30;0;38209;231;0;51;38491;30;0;38244;196;0;51;38491;30;0;38314;126;0;51;38491;30;0;
2450;12275;3 ms;6;38496;0;7;32774;5666;0;51;38491;30;0;38209;231;0;51;38491;30;0;38244;196;0;51;38491;30;0;38314;126;0;51;38491;30;0;
2450;12860;3 ms;6;38496;0;7;32774;5666;0;51;38491;30;0;38209;231;0;51;38491;30;0;38244;196;0;51;38491;30;0;38314;126;0;51;38491;30;0;
2450;13459;3 ms;6;38496;0;7;32774;5666;0;51;38491;30;0;38209;231;0;51;38491;30;0;38244;196;0;51;38491;30;0;38314;126;0;51;38491;30;0;
Fixed time simulation end ########################################

