voltage_trace: voltage_traces/voltage_trace1.txt
Fixed time simulation start ######################################
hazard_threshold_val;backup_period_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2800;14702;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;15345;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;16004;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;16677;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;17365;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;18068;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;18785;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;19518;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;20265;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;21027;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;21803;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;22595;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;23401;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;24222;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;25058;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;25909;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;26775;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;27655;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;28550;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
2800;29460;3 ms;8;21260;0;12;11349;9888;0;16;21253;12;0;20841;396;0;16;21253;12;0;20901;336;0;16;21253;12;0;21021;216;0;16;21253;12;0;
Fixed time simulation end ########################################

