voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;
2650;3 ms;97;48271;0;24;15222;19393;11158;2401;48174;7926;5852;32383;2232;11158;2401;48174;902;830;32983;1632;11158;2401;48174;440;368;33343;1272;11158;2401;48174;450;378;33703;912;11158;2401;48174;424;352;33823;792;11158;2401;48174;340;268;33943;672;11158;2401;48174;320;248;34063;552;11158;2401;48174;270;198;34183;432;11158;2401;48174;296;224;34183;432;11158;2401;48174;285;213;
2680;3 ms;97;48271;0;24;15498;19021;11788;1867;48174;6674;5516;32287;2232;11788;1867;48174;660;594;32887;1632;11788;1867;48174;458;392;33247;1272;11788;1867;48174;752;550;33607;912;11788;1867;48174;994;688;33727;792;11788;1867;48174;778;608;33847;672;11788;1867;48174;514;448;33967;552;11788;1867;48174;356;290;34087;432;11788;1867;48174;322;256;34087;432;11788;1867;48174;292;226;
2710;3 ms;97;48271;0;23;15771;18649;11578;2176;48174;6820;5304;32281;2139;11578;2176;48174;748;688;32856;1564;11578;2176;48174;826;668;33201;1219;11578;2176;48174;654;522;33546;874;11578;2176;48174;468;408;33661;759;11578;2176;48174;378;318;33776;644;11578;2176;48174;264;204;33891;529;11578;2176;48174;250;190;34006;414;11578;2176;48174;254;194;34006;414;11578;2176;48174;220;160;
2740;3 ms;97;48271;0;22;15422;17979;12584;2189;48174;7708;6200;31355;2046;12584;2189;48174;986;534;31905;1496;12584;2189;48174;402;240;32235;1166;12584;2189;48174;196;136;32565;836;12584;2189;48174;196;136;32675;726;12584;2189;48174;196;136;32785;616;12584;2189;48174;196;136;32895;506;12584;2189;48174;196;136;33005;396;12584;2189;48174;196;136;33005;396;12584;2189;48174;196;136;
2770;3 ms;97;48271;0;22;15672;17380;13266;1856;48174;4992;3844;31006;2046;13266;1856;48174;1696;1504;31556;1496;13266;1856;48174;1064;1004;31886;1166;13266;1856;48174;884;756;32216;836;13266;1856;48174;746;624;32326;726;13266;1856;48174;550;442;32436;616;13266;1856;48174;576;436;32546;506;13266;1856;48174;468;376;32656;396;13266;1856;48174;376;316;32656;396;13266;1856;48174;268;208;
2800;3 ms;97;48271;0;21;15488;16881;14046;1759;48174;6244;5100;30416;1953;14046;1759;48174;852;400;30941;1428;14046;1759;48174;502;340;31256;1113;14046;1759;48174;270;210;31571;798;14046;1759;48174;196;136;31676;693;14046;1759;48174;196;136;31781;588;14046;1759;48174;196;136;31886;483;14046;1759;48174;256;196;31991;378;14046;1759;48174;352;264;31991;378;14046;1759;48174;274;192;
2830;3 ms;97;48271;0;20;15444;16111;13880;2739;48174;6206;4516;29695;1860;13880;2739;48174;700;376;30195;1360;13880;2739;48174;268;208;30495;1060;13880;2739;48174;242;182;30795;760;13880;2739;48174;168;108;30895;660;13880;2739;48174;168;108;30995;560;13880;2739;48174;168;108;31095;460;13880;2739;48174;198;138;31195;360;13880;2739;48174;232;172;31195;360;13880;2739;48174;192;132;
2860;3 ms;97;48271;0;19;15212;15648;14840;2474;48174;5276;3764;29093;1767;14840;2474;48174;552;360;29568;1292;14840;2474;48174;152;92;29853;1007;14840;2474;48174;152;92;30138;722;14840;2474;48174;152;92;30233;627;14840;2474;48174;152;92;30328;532;14840;2474;48174;192;132;30423;437;14840;2474;48174;274;186;30518;342;14840;2474;48174;252;160;30518;342;14840;2474;48174;152;92;
2890;3 ms;97;48271;0;19;15962;15434;15004;1774;48174;4002;2856;29629;1767;15004;1774;48174;150;96;30104;1292;15004;1774;48174;150;96;30389;1007;15004;1774;48174;290;236;30674;722;15004;1774;48174;456;344;30769;627;15004;1774;48174;508;354;30864;532;15004;1774;48174;364;268;30959;437;15004;1774;48174;184;130;31054;342;15004;1774;48174;150;96;31054;342;15004;1774;48174;158;104;
2920;3 ms;97;48271;0;18;15879;14953;11926;5416;48174;4362;3216;29065;1767;11926;5416;48174;538;356;29547;1285;11926;5416;48174;552;396;29878;954;11926;5416;48174;502;380;30148;684;11926;5416;48174;396;280;30238;594;11926;5416;48174;200;146;30328;504;11926;5416;48174;146;92;30418;414;11926;5416;48174;146;92;30508;324;11926;5416;48174;146;92;30508;324;11926;5416;48174;146;92;
