voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_idle_state;I_layer11_pwr_apprx_compute_state;I_layer11_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_poweron_state;nv_reg11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_idle_state;I_layer12_pwr_apprx_compute_state;I_layer12_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_poweron_state;nv_reg12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_save_state;
2650;3 ms;97;48271;0;23;16820;18234;10900;2220;48174;6944;5660;32685;2369;10900;2220;48174;472;400;33605;1449;10900;2220;48174;332;260;33835;1219;10900;2220;48174;674;426;33950;1104;10900;2220;48174;870;518;34180;874;10900;2220;48174;540;344;34295;759;10900;2220;48174;530;400;34295;759;10900;2220;48174;442;318;34410;644;10900;2220;48174;268;196;34525;529;10900;2220;48174;292;220;34640;414;10900;2220;48174;262;190;34640;414;10900;2220;48174;228;156;
2680;3 ms;97;48271;0;23;16704;18101;11420;1949;48174;6762;5484;32455;2350;11420;1949;48174;970;668;33419;1386;11420;1949;48174;766;496;33639;1166;11420;1949;48174;250;184;33749;1056;11420;1949;48174;388;254;33969;836;11420;1949;48174;436;308;34079;726;11420;1949;48174;374;308;34079;726;11420;1949;48174;554;488;34189;616;11420;1949;48174;590;524;34299;506;11420;1949;48174;412;346;34409;396;11420;1949;48174;378;312;34409;396;11420;1949;48174;316;232;
2710;3 ms;97;48271;0;22;17271;17551;11230;2122;48174;5934;4464;32556;2266;11230;2122;48174;976;676;33436;1386;11230;2122;48174;758;596;33656;1166;11230;2122;48174;526;466;33766;1056;11230;2122;48174;532;472;33986;836;11230;2122;48174;560;500;34096;726;11230;2122;48174;496;436;34096;726;11230;2122;48174;506;446;34206;616;11230;2122;48174;454;356;34316;506;11230;2122;48174;468;376;34426;396;11230;2122;48174;444;384;34426;396;11230;2122;48174;307;247;
2740;3 ms;97;48271;0;21;16871;17283;12868;1152;48174;5532;4664;31991;2163;12868;1152;48174;860;800;32831;1323;12868;1152;48174;754;596;33041;1113;12868;1152;48174;528;376;33146;1008;12868;1152;48174;248;188;33356;798;12868;1152;48174;248;188;33461;693;12868;1152;48174;248;188;33461;693;12868;1152;48174;598;538;33566;588;12868;1152;48174;796;736;33671;483;12868;1152;48174;540;452;33776;378;12868;1152;48174;612;436;33776;378;12868;1152;48174;434;308;
2800;3 ms;97;48271;0;19;16395;15740;13522;2517;48174;6882;5420;30145;1990;13522;2517;48174;1174;748;30938;1197;13522;2517;48174;296;236;31128;1007;13522;2517;48174;192;132;31223;912;13522;2517;48174;192;132;31413;722;13522;2517;48174;370;252;31508;627;13522;2517;48174;382;260;31508;627;13522;2517;48174;192;132;31603;532;13522;2517;48174;232;172;31698;437;13522;2517;48174;256;196;31793;342;13522;2517;48174;314;226;31793;342;13522;2517;48174;262;180;
2830;3 ms;97;48271;0;18;16682;14953;13950;2589;48174;5862;4388;29678;1957;13950;2589;48174;540;480;30438;1197;13950;2589;48174;276;216;30628;1007;13950;2589;48174;172;112;30723;912;13950;2589;48174;312;252;30913;722;13950;2589;48174;478;360;31008;627;13950;2589;48174;422;300;31008;627;13950;2589;48174;324;216;31103;532;13950;2589;48174;258;156;31198;437;13950;2589;48174;172;112;31293;342;13950;2589;48174;172;112;31295;340;13950;2589;48174;172;112;
2860;3 ms;97;48271;0;18;16378;14585;14532;2679;48174;5036;3360;29109;1854;14532;2679;48174;396;336;29829;1134;14532;2679;48174;364;304;30009;954;14532;2679;48174;156;96;30099;864;14532;2679;48174;156;96;30279;684;14532;2679;48174;454;336;30369;594;14532;2679;48174;534;412;30369;594;14532;2679;48174;210;150;30459;504;14532;2679;48174;156;96;30549;414;14532;2679;48174;186;126;30639;324;14532;2679;48174;190;130;30639;324;14532;2679;48174;156;96;
2890;3 ms;97;48271;0;18;17120;14236;14966;1852;48174;3581;2524;29502;1854;14966;1852;48174;864;692;30222;1134;14966;1852;48174;656;500;30402;954;14966;1852;48174;406;264;30492;864;14966;1852;48174;358;232;30672;684;14966;1852;48174;256;144;30762;594;14966;1852;48174;324;208;30762;594;14966;1852;48174;192;138;30852;504;14966;1852;48174;138;84;30942;414;14966;1852;48174;138;84;31032;324;14966;1852;48174;138;84;31032;324;14966;1852;48174;146;92;
2950;3 ms;97;48271;0;17;17601;13605;12224;4744;48174;4391;3348;29455;1751;12224;4744;48174;132;84;30135;1071;12224;4744;48174;430;284;30305;901;12224;4744;48174;590;362;30390;816;12224;4744;48174;278;158;30560;646;12224;4744;48174;132;84;30645;561;12224;4744;48174;132;84;30645;561;12224;4744;48174;132;84;30730;476;12224;4744;48174;212;164;30815;391;12224;4744;48174;166;118;30900;306;12224;4744;48174;132;84;30900;306;12224;4744;48174;132;84;
2980;3 ms;97;48271;0;16;20858;13321;12950;1045;48174;3775;3144;32531;1648;12950;1045;48174;370;204;33171;1008;12950;1045;48174;734;388;33331;848;12950;1045;48174;504;272;33411;768;12950;1045;48174;132;84;33571;608;12950;1045;48174;310;204;33651;528;12950;1045;48174;322;212;33651;528;12950;1045;48174;182;134;33731;448;12950;1045;48174;176;128;33811;368;12950;1045;48174;132;84;33891;288;12950;1045;48174;132;84;33891;288;12950;1045;48174;132;84;
