voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2650;3 ms;97;48271;0;31;10821;25184;10516;1653;48174;6062;4868;34309;1696;10516;1653;48174;448;376;34469;1536;10516;1653;48174;408;336;34816;1189;10516;1653;48174;288;216;
2680;3 ms;97;48271;0;31;10982;24500;11308;1384;48174;5222;4344;33839;1643;11308;1384;48174;1656;1410;33994;1488;11308;1384;48174;1282;1076;34304;1178;11308;1384;48174;444;356;
2710;3 ms;97;48271;0;30;11485;24008;11680;1001;48174;5532;4656;33903;1590;11680;1001;48174;798;650;34053;1440;11680;1001;48174;616;484;34353;1140;11680;1001;48174;276;216;
2740;3 ms;97;48271;0;29;11378;23327;12324;1145;48174;5730;4752;33168;1537;12324;1145;48174;428;368;33313;1392;12324;1145;48174;318;258;33603;1102;12324;1145;48174;244;184;
2770;3 ms;97;48271;0;28;11449;22338;13340;1047;48174;5620;4748;32303;1484;13340;1047;48174;796;556;32443;1344;13340;1047;48174;244;184;32723;1064;13340;1047;48174;252;192;
2800;3 ms;97;48271;0;27;11520;21581;13559;1514;48174;4654;3676;31670;1431;13559;1514;48174;1058;998;31805;1296;13559;1514;48174;656;596;32075;1026;13559;1514;48174;296;236;
2830;3 ms;97;48271;0;26;11704;20858;14102;1510;48174;4344;3468;31184;1378;14102;1510;48174;200;140;31314;1248;14102;1510;48174;340;280;31574;988;14102;1510;48174;248;188;
2860;3 ms;97;48271;0;25;11702;20069;14284;2119;48174;3290;2516;30446;1325;14284;2119;48174;540;304;30571;1200;14284;2119;48174;826;622;30821;950;14284;2119;48174;280;220;
2890;3 ms;97;48271;0;24;12351;19675;14636;1512;48174;3570;2704;30707;1319;14636;1512;48174;348;202;30874;1152;14636;1512;48174;232;178;31114;912;14636;1512;48174;186;132;
2920;3 ms;97;48271;0;24;12447;19246;15013;1468;48174;3898;3028;30421;1272;15013;1468;48174;170;116;30541;1152;15013;1468;48174;170;116;30781;912;15013;1468;48174;170;116;
2950;3 ms;97;48271;0;23;13095;18732;11985;4362;48174;3007;2347;30608;1219;11985;4362;48174;1070;934;30723;1104;11985;4362;48174;598;478;30953;874;11985;4362;48174;156;108;
2980;3 ms;97;48271;0;23;16813;18169;12444;748;48174;2710;2160;33763;1219;12444;748;48174;972;652;33878;1104;12444;748;48174;502;314;34108;874;12444;748;48174;190;120;
3010;3 ms;97;48271;0;22;16710;17736;12910;818;48174;3450;2692;33280;1166;12910;818;48174;526;386;33390;1056;12910;818;48174;152;104;33610;836;12910;818;48174;153;105;
3040;3 ms;97;48271;0;21;16702;17314;13348;810;48174;3102;2352;32850;1166;13348;810;48174;1074;750;32964;1052;13348;810;48174;210;162;33218;798;13348;810;48174;164;116;
3080;3 ms;97;48271;0;21;16683;16573;14211;707;48174;3044;2384;32143;1113;14211;707;48174;144;96;32248;1008;14211;707;48174;214;166;32458;798;14211;707;48174;168;120;
3110;3 ms;97;48271;0;20;16712;16056;14608;798;48174;3034;2276;31708;1060;14608;798;48174;600;460;31808;960;14608;798;48174;366;318;32008;760;14608;798;48174;144;96;
3140;3 ms;97;48271;0;19;16656;15740;15022;756;48174;2924;2268;31348;1048;15022;756;48174;510;370;31484;912;15022;756;48174;352;236;31674;722;15022;756;48174;186;116;
3170;3 ms;97;48271;0;19;16669;15383;15352;770;48174;2208;1752;31045;1007;15352;770;48174;494;358;31140;912;15352;770;48174;776;520;31330;722;15352;770;48174;252;160;
3200;3 ms;97;48271;0;18;16784;14908;15702;780;48174;2741;2160;30738;954;15702;780;48174;496;268;30828;864;15702;780;48174;278;158;31008;684;15702;780;48174;132;84;
3230;3 ms;97;48271;0;18;16954;14239;16320;661;48174;2949;2372;30239;954;16320;661;48174;426;378;30329;864;16320;661;48174;214;166;30509;684;16320;661;48174;168;120;
