voltage_trace: voltage_traces/voltage_trace10.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
3690;3 ms;45;16499;0;8;8260;6417;1760;17;16454;185;170;14413;264;1760;17;16454;25;10;14453;224;1760;17;16454;25;10;14533;144;1760;17;16454;25;10;
3709;3 ms;45;16499;0;8;8284;6365;1788;17;16454;185;170;14385;264;1788;17;16454;25;10;14425;224;1788;17;16454;25;10;14505;144;1788;17;16454;25;10;
3728;3 ms;45;16499;0;8;8292;6329;1816;17;16454;185;170;14357;264;1816;17;16454;25;10;14397;224;1816;17;16454;25;10;14477;144;1816;17;16454;25;10;
3747;3 ms;45;16499;0;8;8316;6299;1820;19;16454;185;170;14351;264;1820;19;16454;25;10;14391;224;1820;19;16454;25;10;14471;144;1820;19;16454;25;10;
3766;3 ms;45;16499;0;7;8295;6296;1844;19;16454;25;10;14327;264;1844;19;16454;150;135;14386;205;1844;19;16454;110;95;14465;126;1844;19;16454;25;10;
3785;3 ms;45;16499;0;7;8277;6282;1872;23;16454;185;170;14328;231;1872;23;16454;25;10;14363;196;1872;23;16454;25;10;14433;126;1872;23;16454;25;10;
3804;3 ms;45;16499;0;7;8305;6226;1900;23;16454;185;170;14300;231;1900;23;16454;25;10;14335;196;1900;23;16454;25;10;14405;126;1900;23;16454;25;10;
3823;3 ms;45;16499;0;7;8321;5838;2276;19;16454;525;510;13928;231;2276;19;16454;45;30;13963;196;2276;19;16454;45;30;14033;126;2276;19;16454;45;30;
3842;3 ms;45;16499;0;7;8343;5774;2318;19;16454;535;520;13886;231;2318;19;16454;55;40;13921;196;2318;19;16454;55;40;13991;126;2318;19;16454;55;40;
3861;3 ms;45;16499;0;7;8377;5732;2326;19;16454;515;500;13878;231;2326;19;16454;180;165;13913;196;2326;19;16454;45;30;13983;126;2326;19;16454;45;30;
3880;3 ms;45;16499;0;7;8429;5642;2364;19;16454;525;510;13840;231;2364;19;16454;45;30;13875;196;2364;19;16454;45;30;13945;126;2364;19;16454;45;30;
3899;3 ms;45;16499;0;7;8461;5578;2392;23;16454;525;510;13808;231;2392;23;16454;45;30;13843;196;2392;23;16454;45;30;13913;126;2392;23;16454;45;30;
3918;3 ms;45;16499;0;6;8428;5369;2630;27;16454;695;680;13599;198;2630;27;16454;55;40;13629;168;2630;27;16454;55;40;13689;108;2630;27;16454;55;40;
3937;3 ms;45;16499;0;6;8512;5225;2694;23;16454;695;680;13539;198;2694;23;16454;55;40;13569;168;2694;23;16454;55;40;13629;108;2694;23;16454;55;40;
3956;3 ms;45;16499;0;6;8648;4945;2834;27;16454;695;680;13395;198;2834;27;16454;55;40;13425;168;2834;27;16454;55;40;13485;108;2834;27;16454;55;40;
3975;3 ms;45;16499;0;5;8675;4664;3092;23;16454;865;850;13174;165;3092;23;16454;65;50;13199;140;3092;23;16454;65;50;13249;90;3092;23;16454;65;50;
3994;3 ms;45;16499;0;5;8817;4552;3058;27;16454;695;680;13204;165;3058;27;16454;55;40;13229;140;3058;27;16454;55;40;13279;90;3058;27;16454;55;40;
4013;3 ms;45;16499;0;5;8967;4446;3024;17;16454;525;510;13248;165;3024;17;16454;45;30;13273;140;3024;17;16454;45;30;13323;90;3024;17;16454;45;30;
4032;3 ms;45;16499;0;5;8979;4318;3140;17;16454;525;510;13132;165;3140;17;16454;45;30;13157;140;3140;17;16454;45;30;13207;90;3140;17;16454;45;30;
4051;3 ms;45;16499;0;4;8910;3725;3802;17;16454;1035;1020;12503;132;3802;17;16454;75;60;12523;112;3802;17;16454;75;60;12563;72;3802;17;16454;75;60;
Fixed time simulation end ########################################

