voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3 ms;97;48271;0;42;7523;33307;6384;960;48174;4658;3824;39444;1386;6384;960;48174;792;606;39654;1176;6384;960;48174;602;448;40074;756;6384;960;48174;362;272;
2505;3 ms;97;48271;0;41;7455;33047;6712;960;48174;4794;3960;39149;1353;6712;960;48174;692;506;39354;1148;6712;960;48174;538;384;39764;738;6712;960;48174;366;276;
2510;3 ms;97;48271;0;41;7461;32975;6778;960;48174;4926;4092;39083;1353;6778;960;48174;696;510;39288;1148;6778;960;48174;512;358;39698;738;6778;960;48174;346;256;
2515;3 ms;97;48271;0;41;7554;32900;6736;984;48174;4898;3944;39101;1353;6736;984;48174;598;456;39306;1148;6736;984;48174;398;308;39716;738;6736;984;48174;358;268;
2520;3 ms;97;48271;0;41;7651;32721;6836;966;48174;4620;3732;39019;1353;6836;966;48174;960;718;39224;1148;6836;966;48174;490;368;39634;738;6836;966;48174;378;288;
2525;3 ms;97;48271;0;41;7760;32382;7116;916;48174;4722;3892;38789;1353;7116;916;48174;652;510;38994;1148;7116;916;48174;590;444;39404;738;7116;916;48174;458;324;
2530;3 ms;97;48271;0;40;7673;32253;7278;970;48174;4976;4084;38606;1320;7278;970;48174;700;510;38806;1120;7278;970;48174;476;354;39206;720;7278;970;48174;342;252;
2535;3 ms;97;48271;0;40;7775;32049;7370;980;48174;5286;4336;38504;1320;7370;980;48174;832;638;38704;1120;7370;980;48174;388;298;39104;720;7370;980;48174;354;264;
2540;3 ms;97;48271;0;40;7951;32009;7230;984;48174;4826;3872;38640;1320;7230;984;48174;482;340;38840;1120;7230;984;48174;352;262;39240;720;7230;984;48174;346;256;
2545;3 ms;97;48271;0;40;7968;31812;7424;970;48174;4840;3948;38460;1320;7424;970;48174;974;784;38660;1120;7424;970;48174;548;426;39060;720;7424;970;48174;382;292;
2550;3 ms;97;48271;0;40;8067;31531;7592;984;48174;5094;4140;38278;1320;7592;984;48174;602;460;38478;1120;7592;984;48174;372;282;38878;720;7592;984;48174;338;248;
2555;3 ms;97;48271;0;39;8076;31452;7662;984;48174;5298;4344;38241;1287;7662;984;48174;506;364;38436;1092;7662;984;48174;346;256;38826;702;7662;984;48174;346;256;
2560;3 ms;97;48271;0;39;8092;31176;7922;984;48174;5362;4408;37981;1287;7922;984;48174;672;530;38176;1092;7922;984;48174;388;298;38566;702;7922;984;48174;354;264;
2565;3 ms;97;48271;0;39;8194;31038;7972;970;48174;4976;4084;37945;1287;7972;970;48174;602;464;38140;1092;7972;970;48174;506;384;38530;702;7972;970;48174;394;304;
2570;3 ms;97;48271;0;39;8273;30915;7998;988;48174;4986;4028;37901;1287;7998;988;48174;666;576;38096;1092;7998;988;48174;516;426;38486;702;7998;988;48174;412;322;
2575;3 ms;97;48271;0;39;8292;30708;8186;988;48174;5178;4220;37713;1287;8186;988;48174;616;526;37908;1092;8186;988;48174;452;362;38298;702;8186;988;48174;378;288;
2580;3 ms;97;48271;0;38;8391;30537;8258;988;48174;5170;4212;37674;1254;8258;988;48174;666;576;37864;1064;8258;988;48174;418;328;38244;684;8258;988;48174;358;268;
2585;3 ms;97;48271;0;38;8417;30437;8346;974;48174;5244;4348;37600;1254;8346;974;48174;668;530;37790;1064;8346;974;48174;458;336;38170;684;8346;974;48174;358;268;
2590;3 ms;97;48271;0;38;8540;30174;8546;914;48174;5362;4476;37460;1254;8546;914;48174;836;700;37650;1064;8546;914;48174;458;374;38030;684;8546;914;48174;384;300;
2595;3 ms;97;48271;0;38;8624;29998;8634;918;48174;5250;4360;37368;1254;8634;918;48174;456;372;37558;1064;8634;918;48174;416;332;37938;684;8634;918;48174;376;292;
2600;3 ms;97;48271;0;37;8994;29834;8602;744;48174;5244;4552;37607;1221;8602;744;48174;668;596;37792;1036;8602;744;48174;478;378;38162;666;8602;744;48174;352;280;
2605;3 ms;97;48271;0;37;8999;29673;8724;778;48174;5314;4560;37451;1221;8724;778;48174;456;384;37636;1036;8724;778;48174;412;340;38006;666;8724;778;48174;400;328;
2610;3 ms;97;48271;0;37;8995;29439;8962;778;48174;5390;4636;37213;1221;8962;778;48174;514;442;37398;1036;8962;778;48174;458;386;37768;666;8962;778;48174;392;320;
2615;3 ms;97;48271;0;36;9051;28971;9402;750;48174;5478;4848;36834;1188;9402;750;48174;788;620;37014;1008;9402;750;48174;578;474;37374;648;9402;750;48174;432;360;
2620;3 ms;97;48271;0;36;9056;28356;9984;778;48174;6062;5308;36224;1188;9984;778;48174;496;424;36404;1008;9984;778;48174;426;354;36764;648;9984;778;48174;393;321;
2625;3 ms;97;48271;0;35;9067;28269;10094;744;48174;5596;4904;36181;1155;10094;744;48174;646;574;36356;980;10094;744;48174;570;470;36706;630;10094;744;48174;478;384;
2630;3 ms;97;48271;0;35;9083;27803;10510;778;48174;6058;5304;35731;1155;10510;778;48174;608;536;35906;980;10510;778;48174;490;418;36256;630;10510;778;48174;444;372;
2635;3 ms;97;48271;0;35;9160;27738;10498;778;48174;5734;4980;35743;1155;10498;778;48174;646;574;35918;980;10498;778;48174;520;448;36268;630;10498;778;48174;422;350;
2640;3 ms;97;48271;0;34;9089;27547;10774;764;48174;5736;5044;35508;1128;10774;764;48174;860;740;35684;952;10774;764;48174;594;490;36024;612;10774;764;48174;421;349;
2645;3 ms;97;48271;0;34;9094;27304;11044;732;48174;5604;5040;35276;1122;11044;732;48174;950;682;35445;953;11044;732;48174;654;486;35786;612;11044;732;48174;424;352;
2650;3 ms;97;48271;0;34;9194;27172;11092;716;48174;5408;4840;35244;1122;11092;716;48174;958;790;35413;953;11092;716;48174;740;576;35754;612;11092;716;48174;486;392;
2655;3 ms;97;48271;0;34;9192;26968;11244;770;48174;5846;5100;35037;1123;11244;770;48174;916;740;35208;952;11244;770;48174;494;422;35548;612;11244;770;48174;400;328;
2660;3 ms;97;48271;0;34;9417;26905;11152;700;48174;5914;5236;35199;1123;11152;700;48174;702;532;35370;952;11152;700;48174;450;384;35710;612;11152;700;48174;418;352;
2665;3 ms;97;48271;0;34;9433;26763;11282;696;48174;5898;5224;35073;1123;11282;696;48174;966;744;35244;952;11282;696;48174;454;388;35584;612;11282;696;48174;386;320;
2670;3 ms;97;48271;0;33;9369;26759;11342;704;48174;5918;5236;35027;1101;11342;704;48174;650;532;35204;924;11342;704;48174;480;414;35534;594;11342;704;48174;434;368;
2675;3 ms;97;48271;0;33;9359;26591;11516;708;48174;5810;5124;34861;1089;11516;708;48174;806;740;35026;924;11516;708;48174;632;566;35356;594;11516;708;48174;432;366;
2680;3 ms;97;48271;0;33;9369;26541;11556;708;48174;5854;5168;34821;1089;11556;708;48174;702;636;34986;924;11556;708;48174;454;388;35316;594;11556;708;48174;386;320;
2685;3 ms;97;48271;0;33;9368;26512;11586;708;48174;5794;5108;34791;1089;11586;708;48174;594;528;34956;924;11586;708;48174;514;448;35286;594;11586;708;48174;434;368;
2690;3 ms;97;48271;0;33;9386;26292;11788;708;48174;5998;5312;34589;1089;11788;708;48174;436;370;34754;924;11788;708;48174;450;384;35084;594;11788;708;48174;410;344;
2695;3 ms;97;48271;0;33;9397;26271;11798;708;48174;5670;4984;34579;1089;11798;708;48174;694;628;34744;924;11798;708;48174;582;516;35074;594;11798;708;48174;434;368;
2700;3 ms;97;48271;0;33;9496;26042;11928;708;48174;5854;5168;34449;1089;11928;708;48174;644;578;34614;924;11928;708;48174;480;414;34944;594;11928;708;48174;406;340;
2705;3 ms;97;48271;0;33;9578;26010;11878;708;48174;5582;4896;34499;1089;11878;708;48174;520;454;34664;924;11878;708;48174;426;360;34994;594;11878;708;48174;386;320;
2710;3 ms;97;48271;0;32;9936;25912;11688;638;48174;5722;5104;34792;1056;11688;638;48174;472;412;34952;896;11688;638;48174;432;372;35272;576;11688;638;48174;392;332;
2715;3 ms;97;48271;0;32;9932;25854;11750;638;48174;5586;4968;34730;1056;11750;638;48174;464;404;34890;896;11750;638;48174;424;364;35210;576;11750;638;48174;384;324;
2720;3 ms;97;48271;0;32;9949;25591;11996;638;48174;5394;4776;34484;1056;11996;638;48174;680;620;34644;896;11996;638;48174;560;500;34964;576;11996;638;48174;440;380;
2725;3 ms;97;48271;0;32;9945;25527;12064;638;48174;5322;4704;34416;1056;12064;638;48174;722;662;34576;896;12064;638;48174;526;466;34896;576;12064;638;48174;384;324;
2730;3 ms;97;48271;0;32;9962;25500;12092;620;48174;5376;4824;34406;1056;12092;620;48174;772;612;34566;896;12092;620;48174;486;394;34886;576;12092;620;48174;380;320;
2735;3 ms;97;48271;0;32;9956;25412;12182;624;48174;5064;4508;34312;1056;12182;624;48174;650;542;34472;896;12182;624;48174;546;454;34792;576;12182;624;48174;372;312;
2740;3 ms;97;48271;0;31;9904;25184;12448;638;48174;5650;5032;34046;1042;12448;638;48174;464;404;34220;868;12448;638;48174;394;334;34530;558;12448;638;48174;360;300;
2745;3 ms;97;48271;0;31;9895;24841;12800;638;48174;5714;5096;33713;1023;12800;638;48174;522;462;33868;868;12800;638;48174;398;338;34178;558;12800;638;48174;364;304;
2750;3 ms;97;48271;0;31;9907;24567;13066;634;48174;5502;4888;33451;1023;13066;634;48174;948;836;33606;868;13066;634;48174;530;470;33916;558;13066;634;48174;416;356;
2755;3 ms;97;48271;0;31;9999;24471;13066;638;48174;5454;4836;33447;1023;13066;638;48174;518;458;33602;868;13066;638;48174;484;424;33912;558;13066;638;48174;432;372;
2760;3 ms;97;48271;0;30;9915;24291;13344;624;48174;5652;5096;33216;990;13344;624;48174;736;628;33366;840;13344;624;48174;472;380;33666;540;13344;624;48174;382;322;
2765;3 ms;97;48271;0;30;10010;24174;13352;638;48174;5438;4820;33194;990;13352;638;48174;560;500;33344;840;13352;638;48174;382;322;33644;540;13352;638;48174;348;288;
2770;3 ms;97;48271;0;30;10021;24047;13468;638;48174;5118;4500;33078;990;13468;638;48174;444;384;33228;840;13468;638;48174;430;370;33528;540;13468;638;48174;412;352;
2775;3 ms;97;48271;0;30;10011;24025;13500;638;48174;4982;4364;33046;990;13500;638;48174;436;376;33196;840;13500;638;48174;396;336;33496;540;13500;638;48174;356;296;
2780;3 ms;97;48271;0;30;10025;23983;13528;638;48174;4786;4168;33018;990;13528;638;48174;482;422;33168;840;13528;638;48174;426;366;33468;540;13528;638;48174;352;292;
2785;3 ms;97;48271;0;30;10016;23898;13622;638;48174;4578;3960;32924;990;13622;638;48174;632;572;33074;840;13622;638;48174;482;422;33374;540;13622;638;48174;378;318;
2790;3 ms;97;48271;0;29;9940;23552;14044;638;48174;4902;4284;32535;957;14044;638;48174;478;418;32680;812;14044;638;48174;354;294;32970;522;14044;638;48174;320;260;
2795;3 ms;97;48271;0;29;10115;23395;14026;638;48174;4834;4216;32553;957;14026;638;48174;308;248;32698;812;14026;638;48174;308;248;32988;522;14026;638;48174;308;248;
2800;3 ms;97;48271;0;29;10137;23335;14064;638;48174;4766;4148;32515;957;14064;638;48174;304;244;32660;812;14064;638;48174;304;244;32950;522;14064;638;48174;304;244;
2805;3 ms;97;48271;0;29;10139;23235;14162;638;48174;4698;4080;32417;957;14162;638;48174;300;240;32562;812;14162;638;48174;300;240;32852;522;14162;638;48174;300;240;
2810;3 ms;97;48271;0;29;10253;22977;14344;600;48174;4180;3628;32273;957;14344;600;48174;606;494;32418;812;14344;600;48174;524;436;32708;522;14344;600;48174;370;288;
2815;3 ms;97;48271;0;29;10257;22869;14442;606;48174;4234;3744;32169;957;14442;606;48174;648;440;32313;813;14442;606;48174;454;330;32604;522;14442;606;48174;316;256;
2820;3 ms;97;48271;0;28;10251;22819;14466;638;48174;3970;3352;32146;924;14466;638;48174;534;474;32286;784;14466;638;48174;446;386;32566;504;14466;638;48174;305;245;
2825;3 ms;97;48271;0;28;10361;22639;14536;638;48174;3950;3332;32076;924;14536;638;48174;588;528;32216;784;14536;638;48174;370;310;32496;504;14536;638;48174;280;220;
2830;3 ms;97;48271;0;28;10360;22534;14642;638;48174;3874;3256;31970;924;14642;638;48174;526;466;32110;784;14642;638;48174;294;234;32390;504;14642;638;48174;260;200;
2835;3 ms;97;48271;0;28;10482;22286;14768;638;48174;3814;3196;31844;924;14768;638;48174;414;354;31984;784;14768;638;48174;290;230;32264;504;14768;638;48174;256;196;
2840;3 ms;97;48271;0;28;10486;22112;14942;634;48174;3738;3124;31674;924;14942;634;48174;408;296;31814;784;14942;634;48174;278;218;32094;504;14942;634;48174;272;212;
2845;3 ms;97;48271;0;28;10496;22118;14926;634;48174;3342;2728;31690;924;14926;634;48174;496;384;31830;784;14926;634;48174;364;304;32110;504;14926;634;48174;284;224;
2850;3 ms;97;48271;0;27;10409;22017;15110;638;48174;3266;2648;31535;891;15110;638;48174;378;318;31670;756;15110;638;48174;254;194;31940;486;15110;638;48174;220;160;
2855;3 ms;97;48271;0;27;10409;21909;15218;638;48174;3194;2576;31427;891;15218;638;48174;320;260;31562;756;15218;638;48174;212;152;31832;486;15218;638;48174;212;152;
2860;3 ms;97;48271;0;27;10415;21793;15328;638;48174;3214;2596;31317;891;15328;638;48174;274;214;31452;756;15328;638;48174;318;258;31722;486;15328;638;48174;272;212;
2865;3 ms;97;48271;0;27;10510;21704;15322;638;48174;3210;2592;31323;891;15322;638;48174;220;160;31458;756;15322;638;48174;280;220;31728;486;15322;638;48174;244;184;
2870;3 ms;97;48271;0;27;10519;21623;15398;634;48174;2926;2312;31251;891;15398;634;48174;522;410;31386;756;15398;634;48174;276;216;31656;486;15398;634;48174;208;148;
2875;3 ms;97;48271;0;27;10527;21533;15476;638;48174;3118;2500;31169;891;15476;638;48174;424;364;31304;756;15476;638;48174;208;148;31574;486;15476;638;48174;208;148;
2880;3 ms;97;48271;0;27;10539;21473;15524;638;48174;2998;2380;31121;891;15524;638;48174;200;140;31256;756;15524;638;48174;200;140;31526;486;15524;638;48174;200;140;
2885;3 ms;97;48271;0;27;10532;21432;15572;638;48174;2866;2248;31073;891;15572;638;48174;196;136;31208;756;15572;638;48174;196;136;31478;486;15572;638;48174;196;136;
2890;3 ms;97;48271;0;27;11149;21441;15078;506;48174;2744;2256;31699;891;15078;506;48174;248;194;31834;756;15078;506;48174;262;208;32104;486;15078;506;48174;232;178;
2895;3 ms;97;48271;0;27;11168;21276;15162;568;48174;2862;2312;31553;891;15162;568;48174;190;136;31688;756;15162;568;48174;190;136;31958;486;15162;568;48174;190;136;
2900;3 ms;97;48271;0;26;11170;21250;15186;568;48174;2862;2312;31529;891;15186;568;48174;190;136;31664;756;15186;568;48174;190;136;31934;486;15186;568;48174;190;136;
2905;3 ms;97;48271;0;26;11181;21157;15282;554;48174;2724;2236;31480;858;15282;554;48174;616;514;31610;728;15282;554;48174;328;242;31870;468;15282;554;48174;222;168;
2910;3 ms;97;48271;0;26;11174;21116;15334;550;48174;2592;2108;31432;858;15334;550;48174;660;506;31562;728;15334;550;48174;328;242;31822;468;15334;550;48174;202;148;
2915;3 ms;97;48271;0;26;11205;21003;15412;554;48174;2800;2312;31350;858;15412;554;48174;454;352;31480;728;15412;554;48174;298;212;31740;468;15412;554;48174;198;144;
2920;3 ms;97;48271;0;27;11201;20999;15454;520;48174;2792;2308;31342;858;15454;520;48174;462;356;31472;728;15454;520;48174;232;178;31732;468;15454;520;48174;217;145;
2925;3 ms;97;48271;0;26;11866;20936;14912;460;48174;2652;2236;31944;858;14912;460;48174;402;302;32074;728;14912;460;48174;246;170;32334;468;14912;460;48174;242;172;
2930;3 ms;97;48271;0;26;11877;20805;15012;480;48174;2732;2316;31824;858;15012;480;48174;504;356;31954;728;15012;480;48174;296;216;32214;468;15012;480;48174;196;148;
2935;3 ms;97;48271;0;26;11890;20668;15184;432;48174;2600;2184;31700;858;15184;432;48174;344;244;31830;728;15184;432;48174;252;204;32090;468;15184;432;48174;220;172;
2940;3 ms;97;48271;0;26;11984;20592;15142;456;48174;2524;2112;31718;858;15142;456;48174;496;344;31848;728;15142;456;48174;310;234;32108;468;15142;456;48174;230;160;
2945;3 ms;97;48271;0;25;11903;20357;15416;498;48174;2858;2376;31435;825;15416;498;48174;242;194;31560;700;15416;498;48174;188;140;31810;450;15416;498;48174;188;140;
2950;3 ms;97;48271;0;25;11911;20265;15500;498;48174;2726;2244;31351;825;15500;498;48174;180;132;31476;700;15500;498;48174;180;132;31726;450;15500;498;48174;180;132;
2955;3 ms;97;48271;0;25;11912;20194;15584;484;48174;2744;2324;31281;825;15584;484;48174;344;248;31406;700;15584;484;48174;296;216;31656;450;15584;484;48174;206;158;
2960;3 ms;97;48271;0;25;11914;20112;15650;498;48174;2662;2180;31201;825;15650;498;48174;180;132;31326;700;15650;498;48174;180;132;31576;450;15650;498;48174;180;132;
2965;3 ms;97;48271;0;25;11916;19990;15770;498;48174;2462;1980;31081;825;15770;498;48174;172;124;31206;700;15770;498;48174;202;154;31456;450;15770;498;48174;204;156;
2970;3 ms;97;48271;0;25;11934;19910;15832;498;48174;2338;1856;31019;825;15832;498;48174;326;278;31144;700;15832;498;48174;308;260;31394;450;15832;498;48174;200;152;
2975;3 ms;97;48271;0;25;15622;19786;12268;498;48174;2254;1772;34583;825;12268;498;48174;430;382;34708;700;12268;498;48174;266;218;34958;450;12268;498;48174;192;144;
2980;3 ms;97;48271;0;25;15636;19692;12352;494;48174;2190;1712;34503;825;12352;494;48174;486;386;34628;700;12352;494;48174;360;312;34878;450;12352;494;48174;244;196;
2985;3 ms;97;48271;0;24;15548;19538;12590;498;48174;2318;1836;34294;792;12590;498;48174;156;108;34414;672;12590;498;48174;156;108;34654;432;12590;498;48174;156;108;
2990;3 ms;97;48271;0;24;15537;19507;12632;498;48174;2058;1576;34252;792;12632;498;48174;202;154;34372;672;12632;498;48174;216;168;34612;432;12632;498;48174;184;136;
2995;3 ms;97;48271;0;24;15558;19414;12718;484;48174;1988;1568;34180;792;12718;484;48174;458;362;34300;672;12718;484;48174;286;206;34540;432;12718;484;48174;152;104;
3000;3 ms;97;48271;0;24;15563;19343;12774;494;48174;2174;1696;34114;792;12774;494;48174;420;320;34234;672;12774;494;48174;190;142;34474;432;12774;494;48174;164;116;
3005;3 ms;97;48271;0;24;15581;19103;13030;460;48174;2256;1840;33892;792;13030;460;48174;378;278;34012;672;13030;460;48174;290;214;34252;432;13030;460;48174;192;144;
3010;3 ms;97;48271;0;24;15581;19058;13051;484;48174;2196;1776;33847;792;13051;484;48174;312;216;33967;672;13051;484;48174;264;184;34207;432;13051;484;48174;165;117;
3015;3 ms;97;48271;0;24;15596;18952;13156;470;48174;2014;1656;33756;792;13156;470;48174;514;370;33876;672;13156;470;48174;368;256;34116;432;13156;470;48174;178;130;
3020;3 ms;97;48271;0;23;15515;18869;13306;484;48174;2332;1912;33625;759;13306;484;48174;316;220;33740;644;13306;484;48174;268;188;33970;414;13306;484;48174;168;120;
3025;3 ms;97;48271;0;23;15530;18854;13306;484;48174;2268;1848;33625;759;13306;484;48174;316;220;33740;644;13306;484;48174;264;184;33970;414;13306;484;48174;192;144;
3030;3 ms;97;48271;0;23;15535;18737;13418;484;48174;2120;1700;33513;759;13418;484;48174;304;208;33628;644;13418;484;48174;152;104;33858;414;13418;484;48174;152;104;
3035;3 ms;97;48271;0;23;15532;18726;13422;494;48174;2106;1628;33499;759;13422;494;48174;308;208;33614;644;13422;494;48174;148;100;33844;414;13422;494;48174;148;100;
3040;3 ms;97;48271;0;23;15537;18633;13510;494;48174;2166;1688;33411;759;13510;494;48174;362;262;33526;644;13510;494;48174;148;100;33756;414;13510;494;48174;148;100;
3045;3 ms;97;48271;0;23;15557;18565;13558;494;48174;1982;1504;33363;759;13558;494;48174;354;254;33478;644;13558;494;48174;246;198;33708;414;13558;494;48174;172;124;
3050;3 ms;97;48271;0;23;15568;18472;13640;494;48174;2182;1704;33281;759;13640;494;48174;262;162;33396;644;13640;494;48174;186;138;33626;414;13640;494;48174;156;108;
3055;3 ms;97;48271;0;23;15569;18435;13690;480;48174;1980;1564;33245;759;13690;480;48174;406;258;33360;644;13690;480;48174;244;164;33590;414;13690;480;48174;172;124;
3060;3 ms;97;48271;0;23;15570;18338;13772;494;48174;2038;1560;33149;759;13772;494;48174;304;204;33264;644;13772;494;48174;144;96;33494;414;13772;494;48174;152;104;
3065;3 ms;97;48271;0;23;15581;18329;13832;432;48174;1912;1496;33151;759;13832;432;48174;304;204;33266;644;13832;432;48174;144;96;33496;414;13832;432;48174;144;96;
3070;3 ms;97;48271;0;22;15577;18101;14006;490;48174;2214;1740;32919;759;14006;490;48174;634;482;33034;644;14006;490;48174;152;104;33266;412;14006;490;48174;152;104;
3075;3 ms;97;48271;0;22;15518;18084;14078;494;48174;2102;1624;32876;726;14078;494;48174;304;204;32986;616;14078;494;48174;144;96;33206;396;14078;494;48174;144;96;
3080;3 ms;97;48271;0;22;15522;17992;14166;494;48174;2042;1564;32788;726;14166;494;48174;250;150;32898;616;14166;494;48174;174;126;33118;396;14166;494;48174;168;120;
3085;3 ms;97;48271;0;22;15526;17910;14240;498;48174;1974;1492;32710;726;14240;498;48174;190;142;32820;616;14240;498;48174;136;88;33040;396;14240;498;48174;136;88;
