voltage_trace: voltage_traces/voltage_trace3.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3 ms;191;65507;4585;20;15036;15990;32128;2162;65316;28960;26968;30366;660;32128;2162;65316;3284;2986;30466;560;32128;2162;65316;2610;2324;30666;360;32128;2162;65316;2147;1905;
2505;3 ms;191;65507;4585;19;15852;15504;31790;2170;65316;28790;26684;30729;627;31790;2170;65316;3354;3058;30824;532;31790;2170;65316;2402;2210;31014;342;31790;2170;65316;1965;1773;
2510;3 ms;191;65507;4585;19;16877;15051;31224;2164;65316;27500;25448;31301;627;31224;2164;65316;3292;3052;31396;532;31224;2164;65316;2452;2228;31586;342;31224;2164;65316;1952;1760;
2515;3 ms;191;65507;4585;18;16919;14599;31624;2174;65316;26970;24860;30924;594;31624;2174;65316;3322;3078;31014;504;31624;2174;65316;2408;2216;31194;324;31624;2174;65316;1964;1772;
2520;3 ms;191;65507;4585;18;18087;14217;31012;2000;65316;25948;24036;31710;594;31012;2000;65316;2822;2590;31800;504;31012;2000;65316;2152;1944;31980;324;31012;2000;65316;1814;1612;
2525;3 ms;191;65507;4585;18;18426;13452;31692;1746;65316;25870;24224;31317;561;31692;1746;65316;2742;2528;31402;476;31692;1746;65316;2040;1850;31572;306;31692;1746;65316;1735;1533;
2530;3 ms;191;65507;4585;16;19008;13268;31378;1662;65316;24188;22608;31747;529;31378;1662;65316;2548;2282;31828;448;31378;1662;65316;2038;1848;31988;288;31378;1662;65316;1742;1558;
2535;3 ms;191;65507;4585;16;19694;12952;30920;1750;65316;23326;21628;32118;528;30920;1750;65316;2956;2696;32198;448;30920;1750;65316;1956;1800;32358;288;30920;1750;65316;1582;1426;
2540;3 ms;191;65507;4585;15;20268;12592;30698;1758;65316;22978;21272;32358;502;30698;1758;65316;2342;2186;32440;420;30698;1758;65316;1704;1548;32590;270;30698;1758;65316;1516;1360;
2545;3 ms;191;65507;4585;15;21141;12029;30392;1754;65316;22374;20672;32675;495;30392;1754;65316;2254;2046;32750;420;30392;1754;65316;1672;1516;32900;270;30392;1754;65316;1468;1312;
2550;3 ms;191;65507;4585;14;21479;11739;30344;1754;65316;21382;19680;32756;462;30344;1754;65316;2364;2156;32826;392;30344;1754;65316;1832;1676;32966;252;30344;1754;65316;1496;1340;
2555;3 ms;191;65507;4585;14;22021;11453;30170;1672;65316;20368;18852;33012;462;30170;1672;65316;2314;2058;33082;392;30170;1672;65316;1770;1526;33222;252;30170;1672;65316;1464;1264;
2560;3 ms;191;65507;4585;13;22646;10912;30000;1758;65316;20354;18648;33129;429;30000;1758;65316;1758;1602;33194;364;30000;1758;65316;1514;1358;33324;234;30000;1758;65316;1360;1204;
2565;3 ms;191;65507;4585;13;23000;10386;30276;1654;65316;19424;17848;32957;429;30276;1654;65316;2202;2052;33022;364;30276;1654;65316;1720;1542;33152;234;30276;1654;65316;1392;1220;
2570;3 ms;191;65507;4585;12;23640;9950;30198;1528;65316;18732;17348;33194;396;30198;1528;65316;2314;2074;33254;336;30198;1528;65316;1612;1404;33374;216;30198;1528;65316;1292;1148;
2575;3 ms;191;65507;4585;13;24248;9444;30226;1398;65316;17440;16200;33296;396;30226;1398;65316;2176;1844;33356;336;30226;1398;65316;1532;1336;33476;216;30226;1398;65316;1238;1088;
2580;3 ms;191;65507;4585;11;24951;9359;29528;1478;65316;16686;15252;33947;363;29528;1478;65316;1588;1456;34002;308;29528;1478;65316;1298;1166;34112;198;29528;1478;65316;1126;994;
2585;3 ms;191;65507;4585;11;25385;9003;29450;1478;65316;15722;14288;34025;363;29450;1478;65316;1586;1454;34080;308;29450;1478;65316;1204;1072;34190;198;29450;1478;65316;1066;934;
2590;3 ms;191;65507;4585;13;25484;8446;30040;1346;65316;15148;13900;33600;330;30040;1346;65316;1516;1384;33650;280;30040;1346;65316;1286;1154;33750;180;30040;1346;65316;1146;960;
2595;3 ms;191;65507;4585;10;25825;8177;29988;1326;65316;14190;13012;33672;330;29988;1326;65316;1886;1602;33722;280;29988;1326;65316;1428;1208;33821;181;29988;1326;65316;1102;926;
2600;3 ms;191;65507;4585;9;26008;7786;30146;1376;65316;13916;12668;33497;297;30146;1376;65316;1544;1412;33542;252;30146;1376;65316;1298;1082;33631;163;30146;1376;65316;1058;860;
2605;3 ms;191;65507;4585;9;27124;7548;29314;1330;65316;12738;11448;34374;298;29314;1330;65316;1676;1452;34420;252;29314;1330;65316;1202;1082;34510;162;29314;1330;65316;916;796;
2610;3 ms;191;65507;4585;8;27529;7035;29624;1128;65316;12654;11560;34300;264;29624;1128;65316;1226;1124;34340;224;29624;1128;65316;938;836;34420;144;29624;1128;65316;840;738;
2615;3 ms;191;65507;4585;8;27682;6747;29759;1128;65316;12126;11032;34165;264;29759;1128;65316;1256;1154;34205;224;29759;1128;65316;952;850;34285;144;29759;1128;65316;811;709;
2620;3 ms;191;65507;4585;7;28058;6086;30126;1046;65316;11520;10612;33913;231;30126;1046;65316;1160;1010;33948;196;30126;1046;65316;966;776;34017;127;30126;1046;65316;814;668;
2625;3 ms;191;65507;4585;7;28450;5708;30100;1058;65316;11570;10544;33927;231;30100;1058;65316;1102;1006;33962;196;30100;1058;65316;898;802;34032;126;30100;1058;65316;784;688;
2630;3 ms;191;65507;4585;6;28661;5511;30100;1044;65316;10836;9872;33941;231;30100;1044;65316;1558;1414;33988;184;30100;1044;65316;1080;952;34064;108;30100;1044;65316;829;733;
2635;3 ms;191;65507;4585;6;29775;5089;29468;984;65316;11022;10068;34666;198;29468;984;65316;1012;870;34696;168;29468;984;65316;796;706;34756;108;29468;984;65316;722;632;
2640;3 ms;191;65507;4585;5;30681;4723;29008;904;65316;10624;9796;35206;198;29008;904;65316;1036;904;35258;146;29008;904;65316;840;724;35314;90;29008;904;65316;700;616;
2645;3 ms;191;65507;4585;5;33164;3948;27434;770;65316;10078;9332;36946;166;27434;770;65316;1226;1050;36972;140;27434;770;65316;856;784;37022;90;27434;770;65316;696;624;
2650;3 ms;191;65507;4585;4;33181;3821;27554;760;65316;9936;9248;36870;132;27554;760;65316;1052;880;36890;112;27554;760;65316;796;692;36930;72;27554;760;65316;684;612;
2655;3 ms;191;65507;4585;4;34315;3539;26824;638;65316;9320;8704;37721;133;26824;638;65316;1288;1118;37742;112;26824;638;65316;802;736;37782;72;26824;638;65316;662;596;
2660;3 ms;191;65507;4585;4;37072;3490;24190;564;65316;9186;8640;40430;132;24190;564;65316;892;786;40450;112;24190;564;65316;706;652;40490;72;24190;564;65316;626;572;
2665;3 ms;191;65507;4585;4;37051;3393;24304;568;65316;8782;8232;40312;132;24304;568;65316;816;762;40332;112;24304;568;65316;622;568;40372;72;24304;568;65316;562;508;
2670;3 ms;191;65507;4585;4;37129;3311;24308;568;65316;8298;7748;40308;132;24308;568;65316;838;784;40328;112;24308;568;65316;590;536;40368;72;24308;568;65316;522;468;
2675;3 ms;191;65507;4585;3;37495;3043;24210;568;65316;7898;7348;40439;99;24210;568;65316;598;544;40454;84;24210;568;65316;558;504;40484;54;24210;568;65316;518;464;
2680;3 ms;191;65507;4585;3;37643;2957;24148;568;65316;7022;6472;40501;99;24148;568;65316;604;550;40516;84;24148;568;65316;548;494;40546;54;24148;568;65316;482;428;
