voltage_trace: voltage_traces/voltage_trace4.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2930;3 ms;7;15536;0;7;4035;6000;4708;787;15530;3389;2608;9804;231;4708;787;15530;253;154;9839;196;4708;787;15530;253;154;9909;126;4708;787;15530;253;154;
2970;3 ms;7;15536;0;6;4082;5347;5314;787;15530;3025;2244;9231;198;5314;787;15530;231;132;9261;168;5314;787;15530;231;132;9321;108;5314;787;15530;231;132;
3010;3 ms;7;15536;0;6;4218;4815;5710;787;15530;3025;2244;8835;198;5710;787;15530;231;132;8865;168;5710;787;15530;231;132;8925;108;5710;787;15530;231;132;
3050;3 ms;7;15536;0;6;4354;4763;5626;787;15530;2277;1496;8919;198;5626;787;15530;187;88;8949;168;5626;787;15530;187;88;9009;108;5626;787;15530;187;88;
3090;3 ms;7;15536;0;5;4443;4507;5732;848;15530;1936;1496;8785;165;5732;848;15530;187;88;8810;140;5732;848;15530;187;88;8860;90;5732;848;15530;187;88;
3130;3 ms;7;15536;0;5;4992;4251;5876;411;15530;1903;1496;9078;165;5876;411;15530;154;88;9103;140;5876;411;15530;154;88;9153;90;5876;411;15530;154;88;
3170;3 ms;7;15536;0;5;5122;4327;5670;411;15530;1529;1122;9284;165;5670;411;15530;132;66;9309;140;5670;411;15530;132;66;9359;90;5670;411;15530;132;66;
3210;3 ms;7;15536;0;4;5121;3770;6224;415;15530;1903;1496;8759;132;6224;415;15530;154;88;8779;112;6224;415;15530;154;88;8819;72;6224;415;15530;154;88;
3250;3 ms;7;15536;0;3;5148;3069;6894;419;15530;2277;1870;8118;99;6894;419;15530;176;110;8133;84;6894;419;15530;176;110;8163;54;6894;419;15530;176;110;
3290;3 ms;7;15536;0;3;5366;2793;6940;431;15530;1903;1496;8060;99;6940;431;15530;154;88;8075;84;6940;431;15530;154;88;8105;54;6940;431;15530;154;88;
3330;3 ms;7;15536;0;3;6629;2934;5932;35;15530;1155;1122;9464;99;5932;35;15530;99;66;9479;84;5932;35;15530;99;66;9509;54;5932;35;15530;99;66;
3370;3 ms;7;15536;0;3;6685;2714;6096;35;15530;1155;1122;9300;99;6096;35;15530;99;66;9315;84;6096;35;15530;99;66;9345;54;6096;35;15530;99;66;
3410;3 ms;7;15536;0;3;6745;2370;6376;39;15530;1155;1122;9016;99;6376;39;15530;99;66;9031;84;6376;39;15530;99;66;9061;54;6376;39;15530;99;66;
3450;3 ms;7;15536;0;2;6734;1733;7028;35;15530;1155;1122;8401;66;7028;35;15530;99;66;8411;56;7028;35;15530;99;66;8431;36;7028;35;15530;99;66;
3570;3 ms;7;15536;0;2;12794;1617;1084;35;15530;407;374;14345;66;1084;35;15530;55;22;14355;56;1084;35;15530;55;22;14375;36;1084;35;15530;55;22;
3610;3 ms;7;15536;0;2;12809;1574;1112;35;15530;55;22;14317;66;1112;35;15530;55;22;14327;56;1112;35;15530;55;22;14347;36;1112;35;15530;55;22;
3650;3 ms;7;15536;0;1;12781;1574;1140;35;15530;385;352;14296;59;1140;35;15530;352;319;14327;28;1140;35;15530;55;22;14337;18;1140;35;15530;55;22;
3690;3 ms;7;15536;0;1;12787;1540;1168;35;15530;407;374;14294;33;1168;35;15530;55;22;14299;28;1168;35;15530;55;22;14309;18;1168;35;15530;55;22;
3730;3 ms;7;15536;0;1;12815;1484;1196;35;15530;407;374;14266;33;1196;35;15530;55;22;14271;28;1196;35;15530;55;22;14281;18;1196;35;15530;55;22;
3770;3 ms;7;15536;0;1;12859;1416;1220;35;15530;407;374;14242;33;1220;35;15530;55;22;14247;28;1220;35;15530;55;22;14257;18;1220;35;15530;55;22;
3810;3 ms;7;15536;0;1;12895;1352;1248;35;15530;407;374;14214;33;1248;35;15530;55;22;14219;28;1248;35;15530;55;22;14229;18;1248;35;15530;55;22;
3850;3 ms;7;15536;0;1;12923;1296;1276;35;15530;407;374;14186;33;1276;35;15530;55;22;14191;28;1276;35;15530;55;22;14201;18;1276;35;15530;55;22;
3890;3 ms;7;15536;0;1;12939;1264;1292;35;15530;407;374;14170;33;1292;35;15530;55;22;14175;28;1292;35;15530;55;22;14185;18;1292;35;15530;55;22;
3930;3 ms;7;15536;0;1;12955;1208;1332;35;15530;407;374;14130;33;1332;35;15530;55;22;14135;28;1332;35;15530;55;22;14145;18;1332;35;15530;55;22;
3970;3 ms;7;15536;0;1;12971;1160;1364;35;15530;407;374;14098;33;1364;35;15530;55;22;14103;28;1364;35;15530;55;22;14113;18;1364;35;15530;55;22;
4010;3 ms;7;15536;0;1;12991;1084;1420;35;15530;407;374;14042;33;1420;35;15530;55;22;14047;28;1420;35;15530;55;22;14057;18;1420;35;15530;55;22;
