voltage_trace: voltage_traces/voltage_trace4.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
3000;3 ms;7;15536;0;7;3639;5944;5586;361;15530;1375;1020;9352;231;5586;361;15530;105;60;9387;196;5586;361;15530;105;60;9457;126;5586;361;15530;105;60;
3030;3 ms;7;15536;0;7;3743;5762;5662;363;15530;1375;1020;9274;231;5662;363;15530;105;60;9309;196;5662;363;15530;105;60;9379;126;5662;363;15530;105;60;
3060;3 ms;7;15536;0;7;3867;5634;5662;367;15530;1035;680;9270;231;5662;367;15530;85;40;9305;196;5662;367;15530;85;40;9375;126;5662;367;15530;85;40;
3090;3 ms;7;15536;0;6;3994;5380;5528;628;15530;880;680;9176;198;5528;628;15530;85;40;9206;168;5528;628;15530;85;40;9266;108;5528;628;15530;85;40;
3120;3 ms;7;15536;0;6;4519;5164;5656;191;15530;865;680;9485;198;5656;191;15530;205;175;9515;168;5656;191;15530;70;40;9575;108;5656;191;15530;70;40;
3150;3 ms;7;15536;0;6;4625;5126;5590;189;15530;695;510;9553;198;5590;189;15530;440;290;9583;168;5590;189;15530;225;115;9643;108;5590;189;15530;60;30;
3180;3 ms;7;15536;0;6;4701;4920;5718;191;15530;695;510;9423;198;5718;191;15530;60;30;9453;168;5718;191;15530;60;30;9513;108;5718;191;15530;60;30;
3210;3 ms;7;15536;0;5;4764;4381;6194;191;15530;1035;850;8980;165;6194;191;15530;80;50;9005;140;6194;191;15530;80;50;9055;90;6194;191;15530;80;50;
3240;3 ms;7;15536;0;5;4848;4045;6446;191;15530;1035;850;8728;165;6446;191;15530;80;50;8753;140;6446;191;15530;80;50;8803;90;6446;191;15530;80;50;
3270;3 ms;7;15536;0;4;4963;3626;6746;195;15530;1035;850;8457;132;6746;195;15530;80;50;8477;112;6746;195;15530;80;50;8517;72;6746;195;15530;80;50;
3300;3 ms;7;15536;0;4;6328;3559;5624;19;15530;525;510;9755;132;5624;19;15530;45;30;9775;112;5624;19;15530;45;30;9815;72;5624;19;15530;45;30;
3330;3 ms;7;15536;0;4;6360;3425;5728;17;15530;525;510;9653;132;5728;17;15530;45;30;9673;112;5728;17;15530;45;30;9713;72;5728;17;15530;45;30;
3360;3 ms;7;15536;0;4;6412;3235;5864;19;15530;525;510;9515;132;5864;19;15530;45;30;9535;112;5864;19;15530;45;30;9575;72;5864;19;15530;45;30;
3390;3 ms;7;15536;0;3;6449;2862;6202;17;15530;695;680;9212;99;6202;17;15530;55;40;9227;84;6202;17;15530;55;40;9257;54;6202;17;15530;55;40;
3420;3 ms;7;15536;0;3;6501;2576;6434;19;15530;695;680;8978;99;6434;19;15530;55;40;8993;84;6434;19;15530;55;40;9023;54;6434;19;15530;55;40;
Fixed time simulation end ########################################

