voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;
2660;3 ms;97;48271;0;31;11434;24706;10594;1440;48174;5742;4656;34497;1643;10594;1440;48174;754;688;34807;1333;10594;1440;48174;434;368;35427;713;10594;1440;48174;262;196;35582;558;10594;1440;48174;292;226;35582;558;10594;1440;48174;286;220;
2690;3 ms;97;48271;0;30;11316;24108;11379;1371;48174;5760;4776;33834;1590;11379;1371;48174;434;368;34134;1290;11379;1371;48174;394;328;34734;690;11379;1371;48174;426;332;34884;540;11379;1371;48174;400;302;34884;540;11379;1371;48174;302;236;
2720;3 ms;97;48271;0;29;11819;23397;11958;1000;48174;5954;4976;33679;1537;11958;1000;48174;676;616;33969;1247;11958;1000;48174;392;332;34549;667;11958;1000;48174;298;238;34694;522;11958;1000;48174;324;264;34694;522;11958;1000;48174;312;252;
2750;3 ms;97;48271;0;28;11692;22409;12944;1129;48174;5420;4548;32617;1484;12944;1129;48174;976;756;32897;1204;12944;1129;48174;510;408;33457;644;12944;1129;48174;248;188;33597;504;12944;1129;48174;248;188;33597;504;12944;1129;48174;248;188;
2780;3 ms;97;48271;0;27;11751;21871;13534;1018;48174;4774;4004;32191;1431;13534;1018;48174;1302;1000;32461;1161;13534;1018;48174;498;396;33001;621;13534;1018;48174;236;176;33136;486;13534;1018;48174;266;206;33136;486;13534;1018;48174;260;200;
2810;3 ms;97;48271;0;26;11902;20932;13766;1574;48174;4858;3888;31456;1378;13766;1574;48174;456;232;31716;1118;13766;1574;48174;208;148;32236;598;13766;1574;48174;208;148;32366;468;13766;1574;48174;238;178;32366;468;13766;1574;48174;232;172;
2840;3 ms;97;48271;0;25;12085;20186;14402;1501;48174;4330;3356;30946;1325;14402;1501;48174;538;396;31196;1075;14402;1501;48174;284;224;31696;575;14402;1501;48174;302;242;31821;450;14402;1501;48174;298;238;31821;450;14402;1501;48174;252;192;
2870;3 ms;97;48271;0;24;12049;19638;14450;2037;48174;3584;2712;30415;1272;14450;2037;48174;580;360;30655;1032;14450;2037;48174;306;204;31135;552;14450;2037;48174;206;146;31255;432;14450;2037;48174;176;116;31255;432;14450;2037;48174;176;116;
2900;3 ms;97;48271;0;24;12710;19236;14784;1444;48174;3468;2704;30674;1272;14784;1444;48174;162;108;30914;1032;14784;1444;48174;280;188;31394;552;14784;1444;48174;262;176;31514;432;14784;1444;48174;162;108;31514;432;14784;1444;48174;162;108;
2930;3 ms;97;48271;0;23;13376;18888;11442;4468;48174;3570;2808;30992;1272;11442;4468;48174;328;280;31275;989;11442;4468;48174;160;112;31735;529;11442;4468;48174;190;142;31850;414;11442;4468;48174;194;146;31850;414;11442;4468;48174;168;120;
