voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;
2650;3 ms;97;48271;0;25;14037;20462;11282;2393;48174;7902;5840;32081;2418;11282;2393;48174;1554;1086;32731;1768;11282;2393;48174;736;664;33126;1373;11282;2393;48174;440;368;33799;700;11282;2393;48174;312;240;33924;575;11282;2393;48174;262;190;34049;450;11282;2393;48174;228;156;34049;450;11282;2393;48174;228;156;
2680;3 ms;97;48271;0;25;14099;20029;11952;2094;48174;8124;6420;31803;2325;11952;2094;48174;360;294;32428;1700;11952;2094;48174;334;268;32803;1325;11952;2094;48174;330;264;33428;700;11952;2094;48174;398;332;33553;575;11952;2094;48174;328;262;33678;450;11952;2094;48174;264;198;33678;450;11952;2094;48174;248;164;
2710;3 ms;97;48271;0;24;14564;19675;11866;2069;48174;7548;6032;31914;2325;11866;2069;48174;748;688;32570;1669;11866;2069;48174;420;360;32967;1272;11866;2069;48174;320;260;33567;672;11866;2069;48174;300;240;33687;552;11866;2069;48174;280;220;33807;432;11866;2069;48174;250;190;33807;432;11866;2069;48174;225;165;
2740;3 ms;97;48271;0;25;14488;19201;13072;1413;48174;6828;5676;31457;2232;13072;1413;48174;216;156;32057;1632;13072;1413;48174;714;556;32417;1272;13072;1413;48174;584;472;33017;672;13072;1413;48174;382;284;33137;552;13072;1413;48174;282;190;33257;432;13072;1413;48174;246;186;33257;432;13072;1413;48174;259;181;
2770;3 ms;97;48271;0;23;14411;18166;13446;2151;48174;7328;5816;30438;2139;13446;2151;48174;2194;1874;31013;1564;13446;2151;48174;826;664;31358;1219;13446;2151;48174;312;252;31933;644;13446;2151;48174;252;192;32048;529;13446;2151;48174;208;148;32163;414;13446;2151;48174;208;148;32163;414;13446;2151;48174;208;148;
2800;3 ms;97;48271;0;22;14308;17885;13982;1999;48174;6972;5460;30147;2046;13982;1999;48174;592;400;30697;1496;13982;1999;48174;192;132;31027;1166;13982;1999;48174;192;132;31577;616;13982;1999;48174;232;172;31687;506;13982;1999;48174;284;196;31797;396;13982;1999;48174;288;196;31797;396;13982;1999;48174;224;164;
2830;3 ms;97;48271;0;21;14335;17186;14002;2651;48174;5828;4328;29568;1953;14002;2651;48174;1220;632;30093;1428;14002;2651;48174;570;412;30408;1113;14002;2651;48174;270;158;30933;588;14002;2651;48174;164;104;31038;483;14002;2651;48174;164;104;31143;378;14002;2651;48174;164;104;31143;378;14002;2651;48174;164;104;
2860;3 ms;97;48271;0;20;14381;16527;14696;2570;48174;4552;3040;28955;1953;14696;2570;48174;814;494;29480;1428;14696;2570;48174;570;408;29809;1099;14696;2570;48174;264;204;30348;560;14696;2570;48174;204;144;30448;460;14696;2570;48174;220;160;30548;360;14696;2570;48174;254;194;30548;360;14696;2570;48174;208;148;
2890;3 ms;97;48271;0;20;14926;16420;14901;1927;48174;3632;2304;29486;1860;14901;1927;48174;540;486;29986;1360;14901;1927;48174;960;808;30286;1060;14901;1927;48174;518;412;30786;560;14901;1927;48174;238;184;30886;460;14901;1927;48174;180;126;30986;360;14901;1927;48174;184;130;30986;360;14901;1927;48174;150;96;
2920;3 ms;97;48271;0;20;15066;15820;11848;5440;48174;4728;3400;29026;1860;11848;5440;48174;418;364;29526;1360;11848;5440;48174;150;96;29826;1060;11848;5440;48174;200;146;30326;560;11848;5440;48174;312;220;30426;460;11848;5440;48174;280;194;30526;360;11848;5440;48174;214;160;30526;360;11848;5440;48174;182;128;
