voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;
2500;3 ms;97;48271;0;34;12575;27572;6180;1847;48174;5822;4268;38005;2142;6180;1847;48174;246;156;38345;1802;6180;1847;48174;246;156;39025;1122;6180;1847;48174;246;156;39025;1122;6180;1847;48174;346;256;39195;952;6180;1847;48174;452;324;39365;782;6180;1847;48174;346;224;39535;612;6180;1847;48174;254;164;
2519;3 ms;97;48271;0;34;12821;26941;6874;1538;48174;3596;2656;37620;2142;6874;1538;48174;1414;1120;37960;1802;6874;1538;48174;778;688;38640;1122;6874;1538;48174;1082;876;38640;1122;6874;1538;48174;1014;820;38810;952;6874;1538;48174;824;620;38980;782;6874;1538;48174;578;392;39150;612;6874;1538;48174;352;244;
2538;3 ms;97;48271;0;33;12923;26380;6998;1873;48174;5314;4004;37224;2079;6998;1873;48174;548;360;37554;1749;6998;1873;48174;558;348;38214;1089;6998;1873;48174;554;344;38214;1089;6998;1873;48174;406;264;38379;924;6998;1873;48174;372;244;38544;759;6998;1873;48174;316;194;38709;594;6998;1873;48174;258;168;
2557;3 ms;97;48271;0;32;12885;25832;7528;1929;48174;6140;4608;36701;2016;7528;1929;48174;750;460;37021;1696;7528;1929;48174;486;276;37661;1056;7528;1929;48174;368;216;37661;1056;7528;1929;48174;242;152;37821;896;7528;1929;48174;242;152;37981;736;7528;1929;48174;242;152;38141;576;7528;1929;48174;242;152;
2576;3 ms;97;48271;0;32;13096;25339;7720;2019;48174;5276;3876;36419;2016;7720;2019;48174;1168;776;36739;1696;7720;2019;48174;686;476;37379;1056;7720;2019;48174;438;348;37379;1056;7720;2019;48174;412;322;37539;896;7720;2019;48174;338;248;37699;736;7720;2019;48174;318;228;37859;576;7720;2019;48174;278;188;
2595;3 ms;97;48271;0;31;13255;24575;8236;2108;48174;5670;4488;35877;1953;8236;2108;48174;1168;888;36187;1643;8236;2108;48174;564;356;36807;1023;8236;2108;48174;376;292;36807;1023;8236;2108;48174;502;322;36962;868;8236;2108;48174;424;256;37117;713;8236;2108;48174;282;198;37272;558;8236;2108;48174;276;192;
2614;3 ms;97;48271;0;30;13471;24179;8534;1990;48174;5800;4508;35760;1890;8534;1990;48174;754;584;36060;1590;8534;1990;48174;312;240;36660;990;8534;1990;48174;308;236;36660;990;8534;1990;48174;402;330;36810;840;8534;1990;48174;456;384;36960;690;8534;1990;48174;380;308;37110;540;8534;1990;48174;272;200;
2633;3 ms;97;48271;0;28;13393;22823;10184;1774;48174;6326;5156;34389;1827;10184;1774;48174;476;404;34679;1537;10184;1774;48174;574;444;35259;957;10184;1774;48174;586;452;35259;957;10184;1774;48174;376;304;35413;803;10184;1774;48174;434;324;35572;644;10184;1774;48174;372;268;35712;504;10184;1774;48174;272;200;
2652;3 ms;97;48271;0;28;13387;22362;10580;1845;48174;6296;5008;33985;1764;10580;1845;48174;1292;1020;34265;1484;10580;1845;48174;518;384;34825;924;10580;1845;48174;512;440;34825;924;10580;1845;48174;480;408;34965;784;10580;1845;48174;352;280;35105;644;10580;1845;48174;332;260;35245;504;10580;1845;48174;302;230;
2671;3 ms;97;48271;0;27;13531;22036;10910;1697;48174;6546;5264;33803;1764;10910;1697;48174;872;704;34083;1484;10910;1697;48174;446;380;34644;923;10910;1697;48174;382;316;34676;891;10910;1697;48174;412;346;34811;756;10910;1697;48174;302;236;34946;621;10910;1697;48174;288;222;35081;486;10910;1697;48174;282;216;
2690;3 ms;97;48271;0;27;13414;21653;11438;1669;48174;6556;5396;33366;1701;11438;1669;48174;978;712;33636;1431;11438;1669;48174;576;448;34176;891;11438;1669;48174;454;388;34176;891;11438;1669;48174;420;354;34311;756;11438;1669;48174;394;328;34446;621;11438;1669;48174;300;234;34581;486;11438;1669;48174;266;200;
2709;3 ms;97;48271;0;26;13906;21249;11720;1299;48174;6794;5636;33454;1701;11720;1299;48174;556;496;33724;1431;11720;1299;48174;312;252;34293;862;11720;1299;48174;248;188;34297;858;11720;1299;48174;248;188;34427;728;11720;1299;48174;288;228;34557;598;11720;1299;48174;312;252;34687;468;11720;1299;48174;272;212;
2728;3 ms;97;48271;0;26;13824;21027;12090;1233;48174;5818;4904;33213;1638;12090;1233;48174;352;292;33473;1378;12090;1233;48174;434;316;33993;858;12090;1233;48174;558;436;33993;858;12090;1233;48174;662;554;34123;728;12090;1233;48174;470;368;34253;598;12090;1233;48174;282;222;34383;468;12090;1233;48174;276;216;
2766;3 ms;97;48271;0;25;13791;19807;12886;1690;48174;5434;4528;32023;1575;12886;1690;48174;650;492;32273;1325;12886;1690;48174;566;444;32773;825;12886;1690;48174;674;556;32773;825;12886;1690;48174;624;512;32898;700;12886;1690;48174;336;276;33023;575;12886;1690;48174;286;226;33148;450;12886;1690;48174;252;192;
2785;3 ms;97;48271;0;24;13596;19675;13266;1637;48174;4932;3896;31717;1554;13266;1637;48174;544;484;31999;1272;13266;1637;48174;488;428;32479;792;13266;1637;48174;428;368;32479;792;13266;1637;48174;444;384;32599;672;13266;1637;48174;452;392;32719;552;13266;1637;48174;398;338;32839;432;13266;1637;48174;320;260;
2804;3 ms;97;48271;0;24;13760;19072;13088;2254;48174;5532;4496;31320;1512;13088;2254;48174;416;356;31560;1272;13088;2254;48174;344;284;32040;792;13088;2254;48174;216;156;32040;792;13088;2254;48174;216;156;32160;672;13088;2254;48174;334;236;32280;552;13088;2254;48174;316;224;32400;432;13088;2254;48174;216;156;
2823;3 ms;97;48271;0;23;13836;18651;13412;2275;48174;3562;2648;31038;1449;13412;2275;48174;932;676;31268;1219;13412;2275;48174;732;548;31728;759;13412;2275;48174;780;720;31728;759;13412;2275;48174;706;646;31843;644;13412;2275;48174;484;424;31958;529;13412;2275;48174;424;364;32073;414;13412;2275;48174;304;244;
2842;3 ms;97;48271;0;23;13955;18122;13924;2173;48174;3888;3100;30628;1449;13924;2173;48174;790;432;30858;1219;13924;2173;48174;678;436;31318;759;13924;2173;48174;562;440;31318;759;13924;2173;48174;296;236;31433;644;13924;2173;48174;188;128;31548;529;13924;2173;48174;218;158;31663;414;13924;2173;48174;212;152;
2861;3 ms;97;48271;0;22;13712;18003;14284;2175;48174;3862;2952;30329;1386;14284;2175;48174;686;524;30549;1166;14284;2175;48174;296;236;30989;726;14284;2175;48174;356;296;30989;726;14284;2175;48174;426;270;31099;616;14284;2175;48174;300;156;31209;506;14284;2175;48174;172;112;31319;396;14284;2175;48174;172;112;
2880;3 ms;97;48271;0;22;13848;17652;14484;2190;48174;3738;2828;30114;1386;14484;2190;48174;578;416;30334;1166;14484;2190;48174;408;232;30774;726;14484;2190;48174;356;172;30774;726;14484;2190;48174;168;108;30884;616;14484;2190;48174;248;188;30994;506;14484;2190;48174;202;142;31104;396;14484;2190;48174;168;108;
2899;3 ms;97;48271;0;22;14487;17362;14772;1553;48174;2736;2076;30463;1386;14772;1553;48174;1376;1024;30683;1166;14772;1553;48174;606;428;31123;726;14772;1553;48174;400;288;31123;726;14772;1553;48174;526;420;31233;616;14772;1553;48174;294;240;31343;506;14772;1553;48174;162;108;31453;396;14772;1553;48174;162;108;
2918;3 ms;97;48271;0;22;14341;17253;11524;5056;48174;3362;2580;30271;1323;11524;5056;48174;580;424;30481;1113;11524;5056;48174;344;232;30901;693;11524;5056;48174;476;360;30901;693;11524;5056;48174;274;220;31006;588;11524;5056;48174;246;192;31111;483;11524;5056;48174;264;210;31216;378;11524;5056;48174;208;136;
2937;3 ms;97;48271;0;21;15039;16872;11822;4441;48174;3742;3084;30588;1323;11822;4441;48174;462;316;30798;1113;11822;4441;48174;286;176;31218;693;11822;4441;48174;160;112;31218;693;11822;4441;48174;160;112;31323;588;11822;4441;48174;240;192;31428;483;11822;4441;48174;286;210;31533;378;11822;4441;48174;206;136;
2956;3 ms;97;48271;0;22;15141;16607;12143;4283;48174;3313;2659;30425;1323;12143;4283;48174;362;212;30635;1113;12143;4283;48174;156;108;31055;693;12143;4283;48174;156;108;31055;693;12143;4283;48174;206;158;31160;588;12143;4283;48174;318;232;31265;483;12143;4283;48174;316;236;31370;378;12143;4283;48174;223;157;
2975;3 ms;97;48271;0;20;18589;16455;12350;780;48174;2994;2336;33784;1260;12350;780;48174;152;104;33984;1060;12350;780;48174;212;164;34384;660;12350;780;48174;334;228;34384;660;12350;780;48174;406;258;34484;560;12350;780;48174;322;232;34584;460;12350;780;48174;216;168;34684;360;12350;780;48174;186;138;
2994;3 ms;97;48271;0;20;18620;16057;12574;923;48174;2596;1816;33417;1260;12574;923;48174;428;380;33617;1060;12574;923;48174;380;332;34017;660;12574;923;48174;192;144;34017;660;12574;923;48174;276;180;34117;560;12574;923;48174;258;168;34217;460;12574;923;48174;128;80;34317;360;12574;923;48174;128;80;
3013;3 ms;97;48271;0;19;18385;15706;13160;923;48174;3466;2564;32894;1197;13160;923;48174;240;192;33084;1007;13160;923;48174;196;148;33464;627;13160;923;48174;200;152;33464;627;13160;923;48174;136;88;33559;532;13160;923;48174;136;88;33654;437;13160;923;48174;166;118;33749;342;13160;923;48174;160;112;
3032;3 ms;97;48271;0;19;18425;15490;13340;919;48174;3218;2316;32718;1197;13340;919;48174;440;392;32908;1007;13340;919;48174;324;276;33288;627;13340;919;48174;260;212;33288;627;13340;919;48174;190;142;33383;532;13340;919;48174;136;88;33478;437;13340;919;48174;136;88;33573;342;13340;919;48174;136;88;
3051;3 ms;97;48271;0;19;18459;15168;13636;911;48174;3454;2560;32430;1197;13636;911;48174;656;404;32620;1007;13636;911;48174;140;92;33000;627;13636;911;48174;200;152;33000;627;13636;911;48174;194;146;33095;532;13636;911;48174;180;132;33190;437;13636;911;48174;204;156;33285;342;13636;911;48174;164;116;
3070;3 ms;97;48271;0;18;18461;14953;13860;900;48174;2972;2192;32217;1197;13860;900;48174;540;492;32407;1007;13860;900;48174;328;280;32787;627;13860;900;48174;196;148;32787;627;13860;900;48174;288;192;32882;532;13860;900;48174;222;132;32977;437;13860;900;48174;136;88;33080;334;13860;900;48174;136;88;
3089;3 ms;97;48271;0;18;18250;14786;14220;918;48174;3462;2560;31902;1134;14220;918;48174;128;80;32082;954;14220;918;48174;128;80;32442;594;14220;918;48174;128;80;32442;594;14220;918;48174;128;80;32532;504;14220;918;48174;128;80;32622;414;14220;918;48174;128;80;32712;324;14220;918;48174;128;80;
3108;3 ms;97;48271;0;18;18426;14240;14748;760;48174;2612;2076;31532;1134;14748;760;48174;446;300;31712;954;14748;760;48174;448;280;32072;594;14748;760;48174;454;344;32072;594;14748;760;48174;450;354;32162;504;14748;760;48174;318;228;32252;414;14748;760;48174;144;96;32342;324;14748;760;48174;144;96;
3127;3 ms;97;48271;0;17;18194;14166;14920;894;48174;3096;2316;31287;1073;14920;894;48174;754;608;31459;901;14920;894;48174;334;224;31799;561;14920;894;48174;144;96;31799;561;14920;894;48174;194;146;31884;476;14920;894;48174;144;96;31969;391;14920;894;48174;174;126;32054;306;14920;894;48174;168;120;
3146;3 ms;97;48271;0;17;18225;14054;15016;879;48174;2972;2192;31208;1071;15016;879;48174;348;300;31378;901;15016;879;48174;318;212;31718;561;15016;879;48174;390;280;31718;561;15016;879;48174;194;146;31803;476;15016;879;48174;180;132;31888;391;15016;879;48174;234;186;31973;306;15016;879;48174;188;140;
3165;3 ms;97;48271;0;17;18245;13649;15332;948;48174;2960;2180;30823;1071;15332;948;48174;426;280;30993;901;15332;948;48174;250;140;31333;561;15332;948;48174;124;76;31333;561;15332;948;48174;124;76;31418;476;15332;948;48174;164;116;31503;391;15332;948;48174;158;110;31588;306;15332;948;48174;124;76;
