voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
3925;3 ms;97;48271;0;8;24496;6806;16716;156;48174;1232;1084;31038;264;16716;156;48174;142;118;31078;224;16716;156;48174;88;64;31158;144;16716;156;48174;88;64;
3930;3 ms;97;48271;0;8;24496;6766;16756;156;48174;1236;1088;30998;264;16756;156;48174;88;64;31038;224;16756;156;48174;88;64;31118;144;16756;156;48174;88;64;
3935;3 ms;97;48271;0;8;26088;6730;15208;148;48174;1162;1020;32554;264;15208;148;48174;78;60;32594;224;15208;148;48174;78;60;32674;144;15208;148;48174;78;60;
3940;3 ms;97;48271;0;8;26092;6702;15232;148;48174;1162;1020;32530;264;15232;148;48174;78;60;32570;224;15232;148;48174;78;60;32650;144;15232;148;48174;78;60;
3945;3 ms;97;48271;0;8;26097;6543;15386;148;48174;1234;1092;32376;264;15386;148;48174;136;118;32416;224;15386;148;48174;86;68;32496;144;15386;148;48174;86;68;
3950;3 ms;97;48271;0;8;26100;6502;15424;148;48174;1294;1152;32338;264;15424;148;48174;140;122;32378;224;15424;148;48174;86;68;32458;144;15424;148;48174;86;68;
3955;3 ms;97;48271;0;8;26108;6474;15444;148;48174;1298;1156;32318;264;15444;148;48174;86;68;32358;224;15444;148;48174;86;68;32438;144;15444;148;48174;86;68;
3960;3 ms;97;48271;0;8;26106;6434;15486;148;48174;1230;1088;32276;264;15486;148;48174;82;64;32316;224;15486;148;48174;82;64;32396;144;15486;148;48174;82;64;
3965;3 ms;97;48271;0;8;26108;6352;15566;148;48174;1234;1092;32196;264;15566;148;48174;136;118;32236;224;15566;148;48174;120;102;32316;144;15566;148;48174;86;68;
3970;3 ms;97;48271;0;8;26116;6320;15590;148;48174;1294;1152;32172;264;15590;148;48174;140;122;32212;224;15590;148;48174;86;68;32292;144;15590;148;48174;86;68;
3975;3 ms;97;48271;0;8;26119;6319;15588;148;48174;1298;1156;32174;264;15588;148;48174;144;126;32214;224;15588;148;48174;90;72;32294;144;15588;148;48174;90;72;
3980;3 ms;97;48271;0;7;26027;6295;15704;148;48174;1298;1156;32091;231;15704;148;48174;144;126;32126;196;15704;148;48174;90;72;32196;126;15704;148;48174;91;73;
3985;3 ms;97;48271;0;7;26039;6177;15810;148;48174;1302;1160;31985;231;15810;148;48174;90;72;32020;196;15810;148;48174;120;102;32090;126;15810;148;48174;114;96;
3990;3 ms;97;48271;0;7;26043;6169;15814;148;48174;1302;1160;31981;231;15814;148;48174;90;72;32016;196;15814;148;48174;120;102;32086;126;15814;148;48174;114;96;
3995;3 ms;97;48271;0;7;26037;6147;15842;148;48174;1238;1096;31953;231;15842;148;48174;140;122;31988;196;15842;148;48174;124;106;32058;126;15842;148;48174;90;72;
Fixed time simulation end ########################################

