voltage_trace: voltage_traces/voltage_trace6.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
3250;3 ms;6;38496;0;23;6884;18238;12664;705;38491;1575;880;24363;759;12664;705;38491;280;205;24478;644;12664;705;38491;390;315;24708;414;12664;705;38491;275;200;
3290;3 ms;6;38496;0;22;7017;17643;13126;705;38491;2055;1360;23934;726;13126;705;38491;155;80;24044;616;13126;705;38491;155;80;24264;396;13126;705;38491;155;80;
3330;3 ms;6;38496;0;21;7124;16719;10262;4386;38491;2205;1520;23150;693;10262;4386;38491;430;225;23255;588;10262;4386;38491;165;90;23465;378;10262;4386;38491;165;90;
3370;3 ms;6;38496;0;20;7645;16056;10518;4272;38491;2225;1530;23041;660;10518;4272;38491;165;90;23141;560;10518;4272;38491;165;90;23341;360;10518;4272;38491;165;90;
3410;3 ms;6;38496;0;19;11489;15313;11164;525;38491;2205;1690;26175;627;11164;525;38491;425;235;26270;532;11164;525;38491;160;100;26460;342;11164;525;38491;160;100;
3450;3 ms;6;38496;0;18;11564;14330;12062;535;38491;2395;1870;25300;594;12062;535;38491;170;110;25390;504;12062;535;38491;170;110;25570;324;12062;535;38491;170;110;
3490;3 ms;6;38496;0;17;11761;13573;12622;535;38491;2045;1520;24773;561;12622;535;38491;285;225;24858;476;12622;535;38491;150;90;25028;306;12622;535;38491;150;90;
3530;3 ms;6;38496;0;15;11920;12592;13444;535;38491;2065;1540;23984;528;13444;535;38491;160;100;24064;448;13444;535;38491;235;175;24236;276;13444;535;38491;220;160;
3570;3 ms;6;38496;0;15;12111;12039;13806;535;38491;1735;1210;23655;495;13806;535;38491;275;215;23730;420;13806;535;38491;235;175;23880;270;13806;535;38491;150;90;
3610;3 ms;6;38496;0;14;15911;11173;11046;361;38491;2045;1690;26622;462;11046;361;38491;280;235;26692;392;11046;361;38491;145;100;26832;252;11046;361;38491;145;100;
3650;3 ms;6;38496;0;12;15903;10166;12061;361;38491;2245;1890;25673;396;12061;361;38491;425;380;25733;336;12061;361;38491;345;300;25853;216;12061;361;38491;175;130;
3690;3 ms;6;38496;0;11;15926;9298;12914;353;38491;2375;2030;24861;363;12914;353;38491;430;255;24916;308;12914;353;38491;165;120;25026;198;12914;353;38491;165;120;
3730;3 ms;6;38496;0;10;16045;8510;13564;372;38491;1865;1520;24225;330;13564;372;38491;400;225;24275;280;13564;372;38491;135;90;24375;180;13564;372;38491;135;90;
3770;3 ms;6;38496;0;10;21725;8040;7520;1206;38491;1205;850;29435;330;7520;1206;38491;95;50;29485;280;7520;1206;38491;95;50;29585;180;7520;1206;38491;95;50;
3810;3 ms;6;38496;0;9;21828;7176;8315;1172;38491;1545;1190;28707;297;8315;1172;38491;385;340;28752;252;8315;1172;38491;210;165;28842;162;8315;1172;38491;125;80;
3850;3 ms;6;38496;0;8;21973;6902;8486;1130;38491;1375;1020;28611;264;8486;1130;38491;105;60;28651;224;8486;1130;38491;105;60;28731;144;8486;1130;38491;105;60;
3890;3 ms;6;38496;0;7;23074;6296;8758;363;38491;1365;1010;29135;235;8758;363;38491;240;195;29174;196;8758;363;38491;105;60;29244;126;8758;363;38491;105;60;
3930;3 ms;6;38496;0;7;23330;5732;9062;367;38491;1215;860;28831;231;9062;367;38491;230;185;28866;196;9062;367;38491;190;145;28936;126;9062;367;38491;105;60;
3970;3 ms;6;38496;0;6;23357;5498;9308;328;38491;880;680;28657;198;9308;328;38491;475;310;28687;168;9308;328;38491;260;135;28747;108;9308;328;38491;95;50;
4010;3 ms;6;38496;0;6;23503;5299;9322;367;38491;1035;680;28604;198;9322;367;38491;85;40;28634;168;9322;367;38491;85;40;28694;108;9322;367;38491;85;40;
Fixed time simulation end ########################################

