voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
4000;3 ms;72;54455;8750;9;40573;7182;5780;848;54383;6536;5696;47458;297;5780;848;54383;648;552;47503;252;5780;848;54383;432;336;47593;162;5780;848;54383;432;336;
4040;3 ms;72;54455;8750;8;40978;6969;5588;848;54383;6024;5184;47683;264;5588;848;54383;848;752;47723;224;5588;848;54383;688;592;47803;144;5588;848;54383;528;432;
4080;3 ms;72;54455;8750;7;41508;6227;5800;848;54383;6552;5712;47504;231;5800;848;54383;664;568;47539;196;5800;848;54383;448;352;47609;126;5800;848;54383;448;352;
4120;3 ms;72;54455;8750;7;42487;5796;5252;848;54383;5768;4928;48052;231;5252;848;54383;648;552;48087;196;5252;848;54383;672;576;48157;126;5252;848;54383;624;528;
4160;3 ms;72;54455;8750;6;43567;5108;4916;792;54383;4992;4400;48477;198;4916;792;54383;792;504;48507;168;4916;792;54383;904;680;48567;108;4916;792;54383;592;496;
4200;3 ms;72;54455;8750;6;43909;5046;4636;792;54383;4960;4368;48757;198;4636;792;54383;760;472;48787;168;4636;792;54383;632;408;48847;108;4636;792;54383;368;272;
4240;3 ms;72;54455;8750;6;44272;5075;4188;848;54383;4440;3600;49149;198;4188;848;54383;768;672;49179;168;4188;848;54383;624;528;49239;108;4188;848;54383;464;368;
4280;3 ms;72;54455;8750;5;44889;4642;4004;848;54383;4664;3824;49366;165;4004;848;54383;336;240;49391;140;4004;848;54383;456;360;49441;90;4004;848;54383;432;336;
4320;3 ms;72;54455;8750;5;45674;4325;3536;848;54383;3880;3040;49834;165;3536;848;54383;520;424;49859;140;3536;848;54383;696;600;49909;90;3536;848;54383;512;416;
4360;3 ms;72;54455;8750;5;46097;4142;3296;848;54383;4088;3248;50074;165;3296;848;54383;504;408;50099;140;3296;848;54383;288;192;50149;90;3296;848;54383;288;192;
4400;3 ms;72;54455;8750;3;46239;2928;4384;832;54383;5144;4320;49068;99;4384;832;54383;992;688;49083;84;4384;832;54383;352;256;49113;54;4384;832;54383;352;256;
4440;3 ms;72;54455;8750;2;47050;2361;4124;848;54383;4904;4064;49327;84;4124;848;54383;552;456;49355;56;4124;848;54383;336;240;49375;36;4124;848;54383;336;240;
4480;3 ms;72;54455;8750;3;47857;2366;3312;848;54383;4104;3264;50124;99;3312;848;54383;288;192;50139;84;3312;848;54383;288;192;50169;54;3312;848;54383;288;192;
4520;3 ms;72;54455;8750;2;48037;2322;3176;848;54383;3848;3008;50293;66;3176;848;54383;288;192;50303;56;3176;848;54383;408;312;50323;36;3176;848;54383;384;288;
4560;3 ms;72;54455;8750;2;48334;2165;3036;848;54383;3832;2992;50433;66;3036;848;54383;272;176;50443;56;3036;848;54383;272;176;50463;36;3036;848;54383;272;176;
4600;3 ms;72;54455;8750;2;49077;1730;2728;848;54383;3528;2688;50741;66;2728;848;54383;688;592;50751;56;2728;848;54383;256;160;50771;36;2728;848;54383;256;160;
4640;3 ms;72;54455;8750;1;49541;1574;2668;600;54383;2816;2224;51049;66;2668;600;54383;672;576;51060;55;2668;600;54383;544;448;51097;18;2668;600;54383;272;176;
4680;3 ms;72;54455;8750;1;49442;1557;2648;736;54383;2552;2208;50966;33;2648;736;54383;1040;560;50971;28;2648;736;54383;784;432;50981;18;2648;736;54383;256;160;
4720;3 ms;72;54455;8750;1;49924;1375;2484;600;54383;3040;2448;51266;33;2484;600;54383;240;144;51271;28;2484;600;54383;240;144;51281;18;2484;600;54383;240;144;
4760;3 ms;72;54455;8750;1;50469;1130;2484;300;54383;2744;2448;51566;33;2484;300;54383;192;144;51571;28;2484;300;54383;192;144;51581;18;2484;300;54383;192;144;
4800;3 ms;72;54455;8750;1;51003;872;2208;300;54383;2472;2176;51842;33;2208;300;54383;176;128;51847;28;2208;300;54383;176;128;51857;18;2208;300;54383;176;128;
4840;3 ms;72;54455;8750;0;51696;787;1600;300;54383;1672;1376;52450;33;1600;300;54383;344;296;52483;0;1600;300;54383;144;96;52483;0;1600;300;54383;144;96;
