voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3 ms;72;54455;8750;46;6731;40439;5428;1785;54383;5488;3832;45619;1551;5428;1785;54383;612;348;45851;1319;5428;1785;54383;548;316;46326;844;5428;1785;54383;416;248;
2540;3 ms;72;54455;8750;45;6683;39464;6436;1800;54383;5452;3680;44650;1497;6436;1800;54383;612;340;44887;1260;6436;1800;54383;520;352;45337;810;6436;1800;54383;496;328;
2580;3 ms;72;54455;8750;42;6497;38508;6940;2438;54383;5724;3944;43619;1386;6940;2438;54383;400;232;43829;1176;6940;2438;54383;400;232;44249;756;6940;2438;54383;400;232;
2620;3 ms;72;54455;8750;42;6831;37310;7812;2430;54383;5588;3808;42755;1386;7812;2430;54383;392;224;42965;1176;7812;2430;54383;392;224;43385;756;7812;2430;54383;392;224;
2660;3 ms;72;54455;8750;42;6920;36083;9034;2346;54383;5008;3352;41617;1386;9034;2346;54383;848;680;41827;1176;9034;2346;54383;896;672;42237;766;9034;2346;54383;588;376;
2700;3 ms;72;54455;8750;38;6742;35127;10116;2398;54383;5316;3536;40582;1287;10116;2398;54383;376;208;40779;1090;10116;2398;54383;376;208;41185;684;10116;2398;54383;376;208;
2740;3 ms;72;54455;8750;38;7637;34574;10640;1532;54383;4924;3416;40941;1270;10640;1532;54383;360;216;41147;1064;10640;1532;54383;360;216;41527;684;10640;1532;54383;360;216;
2780;3 ms;72;54455;8750;37;7648;33345;10756;2634;54383;4820;3312;39772;1221;10756;2634;54383;900;756;39957;1036;10756;2634;54383;664;520;40327;666;10756;2634;54383;392;248;
2820;3 ms;72;54455;8750;37;7968;31810;11894;2711;54383;5188;3680;38557;1221;11894;2711;54383;368;224;38742;1036;11894;2711;54383;368;224;39112;666;11894;2711;54383;368;224;
2860;3 ms;72;54455;8750;33;8121;30476;13176;2610;54383;5188;3680;37508;1089;13176;2610;54383;684;540;37673;924;13176;2610;54383;512;368;38003;594;13176;2610;54383;376;232;
2900;3 ms;72;54455;8750;33;8253;29766;13836;2528;54383;5056;3672;36930;1089;13836;2528;54383;692;548;37095;924;13836;2528;54383;560;360;37413;606;13836;2528;54383;468;280;
2940;3 ms;72;54455;8750;32;9572;28934;14621;1256;54383;5367;4131;37450;1056;14621;1256;54383;592;472;37610;896;14621;1256;54383;376;256;37930;576;14621;1256;54383;376;256;
2980;3 ms;72;54455;8750;32;9652;28101;15381;1249;54383;4731;3619;36697;1056;15381;1249;54383;344;224;36857;896;15381;1249;54383;460;284;37172;581;15381;1249;54383;436;272;
Fixed time simulation end ########################################

