voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;1500 us;35;27787;9375;24;2528;21413;2571;1240;27752;3407;2270;23116;825;2571;1240;27752;722;420;23235;706;2571;1240;27752;631;356;23509;432;2571;1240;27752;384;192;
2590;1500 us;35;27787;9375;23;2443;20222;3833;1254;27752;4987;3726;21906;759;3833;1254;27752;456;264;22021;644;3833;1254;27752;456;264;22251;414;3833;1254;27752;456;264;
2620;1500 us;35;27787;9375;22;2381;19724;4393;1254;27752;5533;4272;21379;726;4393;1254;27752;484;292;21489;616;4393;1254;27752;484;292;21709;396;4393;1254;27752;484;292;
2680;1500 us;35;27787;9375;21;2351;18890;5257;1254;27752;6363;5102;20548;693;5257;1254;27752;1030;838;20653;588;5257;1254;27752;544;352;20863;378;5257;1254;27752;544;352;
2740;1500 us;35;27787;9375;21;2463;18190;5941;1158;27752;5843;4845;19960;693;5941;1158;27752;748;556;20065;588;5941;1158;27752;1692;1339;20262;391;5941;1158;27752;1466;1138;
2830;1500 us;35;27787;9375;19;2361;16492;7645;1254;27752;8657;7396;18226;627;7645;1254;27752;740;548;18321;532;7645;1254;27752;740;548;18511;342;7645;1254;27752;740;548;
2860;1500 us;35;27787;9375;18;2310;16193;7995;1254;27752;8969;7708;17892;611;7995;1254;27752;756;564;17999;504;7995;1254;27752;786;594;18179;324;7995;1254;27752;780;588;
2920;1500 us;35;27787;9375;17;2247;15536;8715;1254;27752;9697;8436;17222;561;8715;1254;27752;800;608;17307;476;8715;1254;27752;800;608;17477;306;8715;1254;27752;800;608;
2950;1500 us;35;27787;9375;16;2264;14992;9242;1254;27752;10161;8900;16695;561;9242;1254;27752;862;670;16792;464;9242;1254;27752;892;700;16968;288;9242;1254;27752;886;694;
Fixed time simulation end ########################################
